Agilent_Probe_Name	GeneSymbol	GeneName	GO
UKv4_A_23_P386364	CXorf43	chromosome X open reading frame 43	GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0043565(sequence-specific DNA binding)
UKv4_A_23_P105475	SLCO1B3	solute carrier organic anion transporter family, member 1B3	GO:0005215(transporter activity)|GO:0005887(integral to plasma membrane)|GO:0006811(ion transport)|GO:0008514(organic anion transporter activity)|GO:0015711(organic anion transport)|GO:0016020(membrane)
UKv4_A_32_P16975	ANKS3	ankyrin repeat and sterile alpha motif domain containing 3	
UKv4_A_23_P429491	C11orf82	chromosome 11 open reading frame 82	GO:0006915=apoptosis|GO:0007049=cell cycle|GO:0007050=cell cycle arrest|GO:0005634=nucleus|GO:0005737=cytoplasm
UKv4_A_23_P131308	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1	GO:0005506(iron ion binding)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0006118(electron transport)|GO:0008395(steroid hydroxylase activity)|GO:0016020(membrane)|GO:0020037(heme binding)|GO:0046872(metal ion binding)|GO:0047749(
UKv4_A_23_P37545	FLJ11506	hypothetical protein FLJ11506	GO:0015031=protein transport|GO:0005737=cytoplasm
UKv4_A_23_P93431	AIG1	androgen-induced 1	GO:0016020=membrane|GO:0016021=integral to membrane
UKv4_A_23_P6909	CCRL1	chemokine (C-C motif) receptor-like 1	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006935(chemotaxis)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled
UKv4_A_32_P88719	RAB40A	RAB40A, member RAS oncogene family	GO:0000166(nucleotide binding)|GO:0005525(GTP binding)|GO:0007264(small GTPase mediated signal transduction)|GO:0015031(protein transport)|GO:0016020(membrane)
UKv4_A_23_P380951	ZNF420	zinc finger protein 420	GO:0003676(nucleic acid binding)|GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_24_P352864	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	GO:0000502(proteasome complex (sensu Eukaryota))|GO:0005829(cytosol)|GO:0008537(proteasome activator complex)|GO:0008538(proteasome activator activity)|GO:0042802(identical protein binding)
UKv4_A_23_P318262	DLX5	distal-less homeobox 5	GO:0001501=skeletal development|GO:0006355=regulation of transcription, DNA-dependent|GO:0007275=multicellular organismal development|GO:0007399=nervous system development|GO:0007409=axonogenesis|GO:0030326=embryonic limb morphogenesis|GO:0042472=inner ea
UKv4_A_32_P315770	RBMS1	RNA binding motif, single stranded interacting protein 1	GO:0000166(nucleotide binding)|GO:0003677(DNA binding)|GO:0003690(double-stranded DNA binding)|GO:0003697(single-stranded DNA binding)|GO:0003723(RNA binding)|GO:0005575(cellular_component)|GO:0005634(nucleus)|GO:0006260(DNA replication)|GO:0006396(RNA pr
UKv4_A_24_P188800	MARCH1	membrane-associated ring finger (C3HC4) 1	GO:0005515(protein binding)|GO:0006512(ubiquitin cycle)|GO:0008270(zinc ion binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016874(ligase activity)|GO:0046872(metal ion binding)
UKv4_A_23_P26729	COIL	coilin	GO:0001674(female germ cell nucleus)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0015030(Cajal body)
UKv4_A_23_P217468	AFF2	AF4/FMR2 family, member 2	GO:0007420(brain development)|GO:0007611(learning and/or memory)
UKv4_A_23_P384072	EPN1	epsin 1	GO:0005634(nucleus)|GO:0006897(endocytosis)|GO:0008289(lipid binding)
UKv4_A_23_P253321	PNOC	prepronociceptin	GO:0001515(opioid peptide activity)|GO:0005184(neuropeptide hormone activity)|GO:0005576(extracellular region)|GO:0007165(signal transduction)|GO:0007218(neuropeptide signaling pathway)|GO:0007268(synaptic transmission)|GO:0007600(sensory perception)
UKv4_A_24_P945312	PAPOLB	poly(A) polymerase beta (testis specific)	
UKv4_A_24_P354429	HTN1	histatin 1	GO:0001503(ossification)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0006805(xenobiotic metabolic process)|GO:0042742(defense response to bacterium)|GO:0050832(defense response to fungus)
UKv4_A_23_P256663	GALR3	galanin receptor 3	GO:0007165=signal transduction|GO:0007194=negative regulation of adenylate cyclase activity|GO:0007218=neuropeptide signaling pathway|GO:0007268=synaptic transmission|GO:0007611=learning and/or memory|GO:0007631=feeding behavior|GO:0005886=plasma membrane
UKv4_A_23_P24433	CTSF	cathepsin F	GO:0005764(lysosome)|GO:0006508(proteolysis)|GO:0016946(cathepsin F activity)
UKv4_A_23_P8253	RAET1E	retinoic acid early transcript 1E	GO:0005515(protein binding)|GO:0005886(plasma membrane)|GO:0006955(immune response)|GO:0016021(integral to membrane)|GO:0019882(antigen processing and presentation)|GO:0042612(MHC class I protein complex)
UKv4_A_23_P85441	IGSF9	immunoglobulin superfamily, member 9	
UKv4_A_23_P49657	MYH1	myosin, heavy chain 1, skeletal muscle, adult	GO:0006941=striated muscle contraction|GO:0005737=cytoplasm|GO:0005863=striated muscle thick filament|GO:0016459=myosin complex|GO:0000166=nucleotide binding|GO:0003774=motor activity|GO:0003779=actin binding|GO:0005516=calmodulin binding|GO:0005524=ATP b
UKv4_A_23_P29067	TMPRSS2	transmembrane protease, serine 2	GO:0004252(serine-type endopeptidase activity)|GO:0005044(scavenger receptor activity)|GO:0005887(integral to plasma membrane)|GO:0006508(proteolysis)|GO:0016020(membrane)
UKv4_A_23_P78383	C18orf8	chromosome 18 open reading frame 8	
UKv4_A_32_P37360	LACE1	lactation elevated 1	GO:0000166(nucleotide binding)|GO:0005524(ATP binding)
UKv4_A_23_P419503	LRRC4B	leucine rich repeat containing 4B	GO:0005515(protein binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P345710	C3orf21	chromosome 3 open reading frame 21	GO:0016020=membrane|GO:0016021=integral to membrane
UKv4_A_23_P27767	ZNF444	zinc finger protein 444	GO:0003700(transcription factor activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
