set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
"DNA replication, synthesis of RNA primer (GO:0006269)",1.6456276667370193,1.0,1.905276947822318,1.0
nucleobase biosynthetic process (GO:0046112),1.5636162358288914,2.0,1.6293901501291899,16.0
nuclear RNA surveillance (GO:0071027),1.495544722218115,3.0,1.5973933792746342,17.0
DNA strand elongation involved in DNA replication (GO:0006271),1.4605985646186153,4.0,1.7254500869521925,5.0
purine nucleoside monophosphate biosynthetic process (GO:0009127),1.442363573111268,5.5,1.556878513238383,20.5
ribonucleoside monophosphate biosynthetic process (GO:0009156),1.442363573111268,5.5,1.556878513238383,20.5
mitotic DNA replication (GO:1902969),1.4423632745933583,7.0,1.760747018914248,2.0
sno(s)RNA 3'-end processing (GO:0031126),1.3889771717599926,8.0,1.6944214117571106,11.0
rRNA 3'-end processing (GO:0031125),1.3882310102460886,9.0,1.6727852974102362,13.0
ribose phosphate metabolic process (GO:0019693),1.3740126178315903,10.0,1.4785130386214598,22.0
U4 snRNA 3'-end processing (GO:0034475),1.3633080526369585,11.0,1.5705117290072477,19.0
DNA strand elongation (GO:0022616),1.3038816856917916,12.0,1.6744756148509632,12.0
establishment of protein localization to chromosome (GO:0070199),1.294390314464057,13.0,1.4298163421859307,24.0
chromatin remodeling at centromere (GO:0031055),1.2480644791218425,14.0,1.3346180784953439,36.0
centromere complex assembly (GO:0034508),1.2206505171986082,15.0,1.3277705550863783,38.0
telomeric D-loop disassembly (GO:0061820),1.219785378668042,16.0,1.193513776875011,79.0
CENP-A containing chromatin organization (GO:0061641),1.2197433181895363,17.5,1.263876641637584,58.5
CENP-A containing nucleosome assembly (GO:0034080),1.2197433181895363,17.5,1.263876641637584,58.5
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),1.2191113489840457,19.0,1.2694279623700275,56.0
nucleocytoplasmic transport (GO:0006913),1.215153405494956,20.0,1.2618631520797419,60.0
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",1.21009523353953,21.0,1.3675730205229588,32.0
positive regulation of DNA-dependent DNA replication (GO:2000105),1.2046761750066406,22.0,1.4191459888011322,27.0
glutamine transport (GO:0006868),1.1934039818739273,23.0,1.444891042441598,23.0
kinetochore organization (GO:0051383),1.1874765712278246,24.0,1.3698971249356107,31.0
negative regulation of mitotic metaphase/anaphase transition (GO:0045841),1.1820765462471776,25.0,1.3307573089998557,37.0
negative regulation of meiotic cell cycle (GO:0051447),1.1729657957697657,26.0,1.176012504642748,82.0
cristae formation (GO:0042407),1.1723476375564128,27.0,1.1963045768627198,76.0
histone mRNA metabolic process (GO:0008334),1.1693557412495872,28.0,1.2887369378205276,44.0
nuclear transport (GO:0051169),1.1669467182618076,29.0,1.2737423864058117,55.0
