set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
"DNA replication, synthesis of RNA primer (GO:0006269)",1.6456276667370193,1.0,0.7375785541975098,367.0
nucleobase biosynthetic process (GO:0046112),1.5636162358288914,2.0,0.4678375072171265,3389.0
nuclear RNA surveillance (GO:0071027),1.495544722218115,3.0,0.934162825945222,43.0
DNA strand elongation involved in DNA replication (GO:0006271),1.4605985646186153,4.0,0.5112211807750743,2616.0
purine nucleoside monophosphate biosynthetic process (GO:0009127),1.442363573111268,5.5,0.8709012907532802,94.5
ribonucleoside monophosphate biosynthetic process (GO:0009156),1.442363573111268,5.5,0.8709012907532802,94.5
mitotic DNA replication (GO:1902969),1.4423632745933583,7.0,0.42619352546444583,3932.0
sno(s)RNA 3'-end processing (GO:0031126),1.3889771717599926,8.0,0.8708228967705562,96.0
rRNA 3'-end processing (GO:0031125),1.3882310102460886,9.0,0.3829350485017909,4338.0
ribose phosphate metabolic process (GO:0019693),1.3740126178315903,10.0,0.4887369227682601,3044.0
U4 snRNA 3'-end processing (GO:0034475),1.3633080526369585,11.0,0.7554605845920526,298.0
DNA strand elongation (GO:0022616),1.3038816856917916,12.0,0.5654861798791128,1669.0
establishment of protein localization to chromosome (GO:0070199),1.294390314464057,13.0,0.7093850792585877,463.0
chromatin remodeling at centromere (GO:0031055),1.2480644791218425,14.0,0.6019772350306785,1232.0
centromere complex assembly (GO:0034508),1.2206505171986082,15.0,0.7124188982138382,447.0
telomeric D-loop disassembly (GO:0061820),1.219785378668042,16.0,0.743841306070771,346.0
CENP-A containing chromatin organization (GO:0061641),1.2197433181895363,17.5,0.5570169155896144,1802.5
CENP-A containing nucleosome assembly (GO:0034080),1.2197433181895363,17.5,0.5570169155896144,1802.5
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),1.2191113489840457,19.0,0.6456529807614823,874.0
nucleocytoplasmic transport (GO:0006913),1.215153405494956,20.0,0.8667005534731926,98.0
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",1.21009523353953,21.0,0.5503330110739602,1897.0
positive regulation of DNA-dependent DNA replication (GO:2000105),1.2046761750066406,22.0,0.6363020314543907,939.0
glutamine transport (GO:0006868),1.1934039818739273,23.0,0.6651573314896019,721.0
kinetochore organization (GO:0051383),1.1874765712278246,24.0,1.1230285057107772,6.0
negative regulation of mitotic metaphase/anaphase transition (GO:0045841),1.1820765462471776,25.0,0.975453871836379,25.0
negative regulation of meiotic cell cycle (GO:0051447),1.1729657957697657,26.0,0.7068252956941853,476.0
cristae formation (GO:0042407),1.1723476375564128,27.0,0.8565358220994217,109.0
histone mRNA metabolic process (GO:0008334),1.1693557412495872,28.0,0.6489563382643274,850.0
nuclear transport (GO:0051169),1.1669467182618076,29.0,0.8520148096471951,117.0
mitotic spindle checkpoint signaling (GO:0071174),1.1643210405594788,31.0,0.9255633468158379,49.0
spindle assembly checkpoint signaling (GO:0071173),1.1643210405594788,31.0,0.9255633468158379,49.0
mitotic spindle assembly checkpoint signaling (GO:0007094),1.1643210405594788,31.0,0.9255633468158379,49.0
polyadenylation-dependent snoRNA 3'-end processing (GO:0071051),1.1595443552771763,33.0,0.7607078885733145,284.0
"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)",1.1565345684750117,34.0,0.65484532450519,807.0
tetrahydrofolate metabolic process (GO:0046653),1.1548026031113696,35.5,0.41637157302488886,4040.5
tetrahydrofolate interconversion (GO:0035999),1.1548026031113696,35.5,0.41637157302488886,4040.5
pyrimidine nucleobase biosynthetic process (GO:0019856),1.1457704541411906,37.5,0.46611005142325207,3415.5
pyrimidine ribonucleotide biosynthetic process (GO:0009220),1.1457704541411906,37.5,0.46611005142325207,3415.5
positive regulation of stem cell proliferation (GO:2000648),1.1409039366486942,39.0,1.100539487120332,8.0
hepatocyte differentiation (GO:0070365),1.1379931864991173,40.0,0.6709799497693109,683.0
DNA replication initiation (GO:0006270),1.1368807432206576,41.0,0.6028719675715547,1222.0
purine nucleobase metabolic process (GO:0006144),1.1341458636391315,42.0,0.3433872224538466,4578.0
positive regulation of telomerase RNA localization to Cajal body (GO:1904874),1.1332716252494186,43.5,0.45938245843745573,3518.5
regulation of telomerase RNA localization to Cajal body (GO:1904872),1.1332716252494186,43.5,0.45938245843745573,3518.5
replication fork protection (GO:0048478),1.1329153573602877,45.0,0.7672852789649854,264.0
chromatin silencing at telomere (GO:0006348),1.1307453644744947,46.0,0.8929916785558232,75.0
kinetochore assembly (GO:0051382),1.1292706441211606,47.0,1.0805577754910367,9.0
mitotic spindle midzone assembly (GO:0051256),1.126044979783731,48.5,0.48856830437203586,3048.5
mitotic spindle elongation (GO:0000022),1.126044979783731,48.5,0.48856830437203586,3048.5
nuclear mRNA surveillance (GO:0071028),1.1251370970105858,50.0,0.7345219079973477,374.0
amino-acid betaine transport (GO:0015838),1.1219453331863225,51.0,0.5807924139288475,1482.0
mitotic sister chromatid cohesion (GO:0007064),1.1171443938936512,52.0,0.7237823248027183,412.0
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",1.1136676656032385,53.0,0.491582716233266,2999.0
positive regulation of establishment of protein localization (GO:1904951),1.1127470391193444,54.0,0.45427548758257447,3590.0
ribose phosphate biosynthetic process (GO:0046390),1.107625378997017,55.0,0.8180656260614783,161.0
DNA replication-independent nucleosome assembly (GO:0006336),1.1002135927030743,56.0,0.5710633468998152,1596.0
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",1.0994762870417227,57.0,0.41578969237706503,4046.0
RNA localization to Cajal body (GO:0090670),1.0986285372403166,58.5,0.5402534254161374,2082.5
scaRNA localization to Cajal body (GO:0090666),1.0986285372403166,58.5,0.5402534254161374,2082.5
peptidyl-lysine dimethylation (GO:0018027),1.0935429725154933,60.0,0.5289139177272271,2271.0
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510),1.09174272961862,61.5,0.804105402617771,185.5
regulation of acyl-CoA biosynthetic process (GO:0050812),1.09174272961862,61.5,0.804105402617771,185.5
myelin assembly (GO:0032288),1.0902878178897824,63.0,0.3781507408331077,4379.0
positive regulation of establishment of protein localization to telomere (GO:1904851),1.088091769706449,66.0,0.445747048388895,3708.0
regulation of establishment of protein localization to telomere (GO:0070203),1.088091769706449,66.0,0.445747048388895,3708.0
regulation of protein localization to Cajal body (GO:1904869),1.088091769706449,66.0,0.445747048388895,3708.0
positive regulation of protein localization to Cajal body (GO:1904871),1.088091769706449,66.0,0.445747048388895,3708.0
"positive regulation of protein localization to chromosome, telomeric region (GO:1904816)",1.088091769706449,66.0,0.445747048388895,3708.0
regulation of sister chromatid cohesion (GO:0007063),1.0815206304558518,69.0,0.8578685531302956,106.0
protein localization to microtubule cytoskeleton (GO:0072698),1.0735270318991295,70.0,0.932503804762101,46.0
regulation of spindle organization (GO:0090224),1.062697793474376,71.0,0.5177428513750669,2494.0
pyrimidine-containing compound metabolic process (GO:0072527),1.0546908911554282,72.0,0.3478173879408935,4561.0
DNA replication-dependent nucleosome organization (GO:0034723),1.0522634918689204,73.5,0.6428402023864237,893.5
DNA replication-dependent nucleosome assembly (GO:0006335),1.0522634918689204,73.5,0.6428402023864237,893.5
mitochondrial calcium ion transmembrane transport (GO:0006851),1.050048053130544,75.0,0.4418611090915733,3755.0
rRNA modification (GO:0000154),1.0464686662477318,76.0,0.5415687663371919,2071.0
mitochondrial gene expression (GO:0140053),1.03993788981661,77.0,0.45636464482651257,3559.0
serine transport (GO:0032329),1.0388958641362827,78.0,0.8357001152773688,131.0
cerebral cortex neuron differentiation (GO:0021895),1.0355862616441998,79.0,0.8267170208835506,152.0
