set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
DNA replication,1.1281389261009316,1.0,1.2363245253866684,1.0
Ribosome,0.9500119984375548,2.0,1.2023414826073828,2.0
RNA polymerase,0.9342305930646548,3.0,1.0879918999100038,3.0
One carbon pool by folate,0.9268733977644412,4.0,1.0473610875700095,5.0
Homologous recombination,0.9222086359294128,5.0,1.068351823498544,4.0
Base excision repair,0.9188179032088473,6.0,1.0371537543023988,6.0
Steroid biosynthesis,0.8194186264040456,7.0,0.9924966925785779,7.0
Fanconi anemia pathway,0.8115138196933975,8.0,0.8771506820991868,12.0
Ribosome biogenesis in eukaryotes,0.7991967375846434,9.0,0.9617105292402041,8.0
Ubiquinone and other terpenoid-quinone biosynthesis,0.7798108716185242,10.0,0.7292988559897393,38.0
RNA transport,0.7701283059945385,11.0,0.9346015210792105,10.0
Cell cycle,0.7627858964197715,12.0,0.8708571463413033,14.0
Mismatch repair,0.7348343433539223,13.0,0.8353693319118682,16.0
Spliceosome,0.733165077637791,14.0,0.9325624313502575,11.0
Pyrimidine metabolism,0.7254529709311935,15.0,0.7375500385380585,34.0
mRNA surveillance pathway,0.7218535334965032,16.0,0.8397652471466065,15.0
Bladder cancer,0.7139270425474128,17.0,0.8015308199030817,21.0
Synthesis and degradation of ketone bodies,0.7076005608687005,18.0,0.4902918417727234,198.0
Nucleotide excision repair,0.7071828308031888,19.0,0.7766634918354098,26.0
Aminoacyl-tRNA biosynthesis,0.6940339012382615,20.0,0.805994787907405,20.0
Oocyte meiosis,0.6868875663478766,21.0,0.7560289459209873,30.0
Progesterone-mediated oocyte maturation,0.6599559983733704,22.0,0.7269706162103927,39.0
Vasopressin-regulated water reabsorption,0.6544120169929907,23.0,0.5901878973753351,87.0
RNA degradation,0.6478033736451327,24.0,0.7716187412222789,27.0
Pentose phosphate pathway,0.6339406380736579,25.0,0.7465384661697674,32.0
Fructose and mannose metabolism,0.6166648889559314,26.0,0.7314534624258521,35.0
Oxidative phosphorylation,0.6145218287194095,27.0,0.8736637860287803,13.0
Amyotrophic lateral sclerosis,0.6139810769577343,28.0,0.7877207558921446,23.0
Parkinson disease,0.6125589947517953,29.0,0.8338484655308532,17.0
Non-small cell lung cancer,0.6112001759497013,30.0,0.7447473041555961,33.0
Cellular senescence,0.6032754738069346,31.0,0.6616636285260126,54.0
Protein export,0.6029763933698694,32.0,0.9416908428090838,9.0
Butanoate metabolism,0.5989881350418549,33.0,0.6027756262080851,76.0
Thyroid cancer,0.5985790299556009,34.0,0.7850900280633827,24.0
Small cell lung cancer,0.597073710505265,35.0,0.6369760256642581,64.0
Huntington disease,0.5906487657125249,36.0,0.8004866356553361,22.0
Amino sugar and nucleotide sugar metabolism,0.5851210745209386,37.0,0.6922689180391521,49.0
Epithelial cell signaling in Helicobacter pylori infection,0.5810948212934096,38.0,0.6435849115449543,59.0
p53 signaling pathway,0.5758025357944889,39.0,0.6764671690421927,51.0
Mitophagy,0.5736331381569133,40.0,0.626900722248787,68.0
