set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
DNA replication,1.1910871732802464,1.0,1.2801351781298023,1.0
RNA polymerase,0.9618026934687737,2.0,1.1146982769885918,3.0
One carbon pool by folate,0.9603150140816908,3.0,1.07414425492317,5.0
Ribosome,0.9572435350748982,4.0,1.2202105787933608,2.0
Homologous recombination,0.9521436772260737,5.0,1.0871642722489345,4.0
Base excision repair,0.9396656148143502,6.0,1.0451684177206373,7.0
Steroid biosynthesis,0.8665463782679181,7.0,1.0513713485889842,6.0
Fanconi anemia pathway,0.8471726321488491,8.0,0.9083213533054103,12.0
Ribosome biogenesis in eukaryotes,0.8037054447454187,9.0,0.9671375422435584,8.0
Ubiquinone and other terpenoid-quinone biosynthesis,0.8016541279497457,10.0,0.7425708867276405,36.0
Cell cycle,0.7918309298726284,11.0,0.8742853516565521,14.0
RNA transport,0.7811539852591597,12.0,0.9460203507992312,11.0
Mismatch repair,0.7619389136829223,13.0,0.8557444241723343,15.0
Spliceosome,0.7463041279211472,14.0,0.9515639455651755,9.0
Pyrimidine metabolism,0.7391290229939371,15.0,0.759867034169973,33.0
Bladder cancer,0.7346100101393063,16.0,0.8153748223668016,21.0
Nucleotide excision repair,0.7330892788951653,17.0,0.7974169873831949,25.0
mRNA surveillance pathway,0.7216961741051924,18.0,0.8484618303333772,17.0
Aminoacyl-tRNA biosynthesis,0.7152321648758673,19.0,0.8266733233037835,20.0
Synthesis and degradation of ketone bodies,0.7067713123104156,20.0,0.49462246744410676,208.0
Oocyte meiosis,0.7019967636344813,21.0,0.7605704473732349,32.0
Progesterone-mediated oocyte maturation,0.6743387082510656,22.0,0.7330214892440464,42.0
Vasopressin-regulated water reabsorption,0.6642795934241594,23.0,0.603906310763004,86.0
RNA degradation,0.6543521041676289,24.0,0.7836678790374416,26.0
Pentose phosphate pathway,0.6476552721387884,25.0,0.7628111912564367,31.0
Oxidative phosphorylation,0.6301902377138312,26.0,0.8883313378682024,13.0
Fructose and mannose metabolism,0.6292246158537036,27.0,0.7412533839809883,38.0
Parkinson disease,0.6260801778217696,28.0,0.8500134659453529,16.0
Cellular senescence,0.6254552916903238,29.0,0.67211308481887,55.0
Non-small cell lung cancer,0.6246884250335631,30.0,0.7555572366897306,35.0
Amyotrophic lateral sclerosis,0.6235688070191819,31.0,0.7994258654346084,24.0
Butanoate metabolism,0.6183605280359243,32.0,0.6072199563339694,82.0
Epithelial cell signaling in Helicobacter pylori infection,0.6101403035478276,33.0,0.6585076678739201,58.0
Small cell lung cancer,0.6066653324523046,34.0,0.6391958865466677,68.0
Protein export,0.6056272021674661,35.0,0.94843970966589,10.0
Thyroid cancer,0.6039005625526375,36.0,0.7797466366087432,27.0
Huntington disease,0.6006668694971026,37.0,0.814529781640216,22.0
Human T-cell leukemia virus 1 infection,0.598992098300746,38.0,0.6558387036943829,59.0
Mitophagy,0.5959690164344617,39.0,0.6424171640825274,65.0
Amino sugar and nucleotide sugar metabolism,0.5958080127488555,40.0,0.7016640094480335,49.0
p53 signaling pathway,0.5949243686900975,41.0,0.6806724449486833,53.0
Pancreatic cancer,0.5863738550728647,42.0,0.7207984696088657,44.0
Non-homologous end-joining,0.5857754039273246,43.0,0.8284731102856517,19.0
Apoptosis,0.584354277772946,44.0,0.6420495105537198,66.0
Glutathione metabolism,0.5839004490402477,45.0,0.7179352786823914,45.0
Diabetic cardiomyopathy,0.5823303958179423,46.0,0.8021750389998104,23.0
Basal transcription factors,0.5790741872079448,47.0,0.7768427933239923,28.0
Collecting duct acid secretion,0.5708148902783834,48.0,0.6188739884429746,74.0
Lysine degradation,0.5692738374364004,49.0,0.5555902116538887,125.0
Glioma,0.5644680620194859,50.0,0.6123474903992673,79.0
Endocytosis,0.5598607593629908,51.0,0.6263103723672344,71.0
Non-alcoholic fatty liver disease,0.5590657329673409,52.0,0.7655595467767811,30.0
Chronic myeloid leukemia,0.5556157793655189,53.0,0.6813409599147501,52.0
"Valine, leucine and isoleucine degradation",0.5541083688110393,54.0,0.5003420907278169,202.0
Proteasome,0.5514859441256824,55.0,0.830818244226483,18.0
Thermogenesis,0.5509787193245171,56.0,0.7348181569539255,41.0
Melanoma,0.5484339871831879,57.0,0.6870937508676366,50.0
Ubiquitin mediated proteolysis,0.5457577840502499,58.0,0.6042524427799072,85.0
Salmonella infection,0.5454600652421153,59.0,0.6226323646349254,73.0
Phagosome,0.5437006149978727,60.0,0.565316711104442,118.0
Vibrio cholerae infection,0.5428362609153036,61.0,0.6172850556787863,75.0
Prion disease,0.5397914445762173,62.0,0.7246452270498486,43.0
AMPK signaling pathway,0.5373582512259645,63.0,0.5963255546993249,91.0
Prostate cancer,0.5354572434401438,64.0,0.653131426147804,62.0
VEGF signaling pathway,0.5348013118079468,65.0,0.6250667694862305,72.0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.533287206287037,66.0,0.5839889992863918,104.0
Hepatitis B,0.5318500425719267,67.0,0.6112058532882171,80.0
Riboflavin metabolism,0.5302102488445426,68.0,0.7747991490394188,29.0
Synaptic vesicle cycle,0.5299751109260564,69.0,0.6402480547001654,67.0
Epstein-Barr virus infection,0.5296267189192303,70.0,0.6534486303434439,61.0
Pantothenate and CoA biosynthesis,0.5282408884063605,71.0,0.6314777781805513,70.0
