set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
translation (GO:0006412),9.099531903780336e-05,68/84,DARS2;PPA1;IGF2BP3;RPS16;EEF2;GSPT2;MRPS16;RARS2;SRBD1;FTSJ1;NDUFA7;MARS2;RPS6KB2;RPS18;RPS12;EEF1A2;MRPS36;MRPL11;IGHMBP2;MRPL51;MRPL27;TUFM;EEFSEC;MRPS34;RPS21;MRPS2;SARS2;N6AMT1;DRG1;ETF1;MRPS18B;MRPS17;MRPS18C;ASMT;MRPL9;RPS3;RPL35A;RPL22L1;MRPL37;MRPS14;FARS2;MRPL28;ZAR1;EEF1E1;FARSA;MRPL36;UBA52;MRPL13;RPL7;RPS20;MRRF;RPL36;YARS2;RPS9;EIF4G1;WARS2;MRPL16;RPL8;MRPL23;ZC3H15;RPS23;MRPS33;LARS2;IARS2;MRPS24;TSFM;DRG2;MRPS7,0.014112728161264337,40/84,DARS2;PPA1;COPS5;EEF2;GSPT2;MRPS16;SRBD1;NDUFA7;RPS18;RPS12;MRPS36;MRPS28;MRPL51;TUFM;MRPS34;RPS21;MRPL43;ETF1;PABPC4;RPL3L;MRPS18C;RPS3;RPL22L1;MRPS14;MRPL37;FARS2;MRPL28;FARSA;MRPL36;MRRF;RPL36;YARS2;MRPL16;RPL8;RPS23;LARS2;IARS2;RPS4Y2;MRPS24;DRG2,84
translational termination (GO:0006415),0.00015776268239428958,48/57,MRPS25;MRPL15;MRPL44;MRPL14;GSPT2;MRPS16;MRPL54;MRPS23;MRPL50;MRPS36;MRPL11;MRPL51;MRPL27;MRPS35;MRPS34;MRPS2;MRPS9;N6AMT1;ETF1;MRPS18B;MRPS17;GADD45GIP1;MRPS18C;MRPL1;CHCHD1;MRPL9;MRPL40;MRPS14;MRPL22;MRPL37;MRPL28;MRPS22;MRPL36;MRPL13;OXA1L;MRRF;MRPS27;MRPL12;MRPL4;MRPL16;MRPS26;MRPL23;MRPS33;MRPL17;MRPS24;MRPL48;MRPS7;MRPS30,0.0057095446658445344,30/57,MRPL15;MRPL14;GSPT2;MRPS16;MRPS23;MRPL50;MRPS36;MRPS28;MRPL51;MRPS35;MRPS34;MRPS9;ETF1;MRPL43;GADD45GIP1;MRPS18C;MRPL1;MRPS14;MRPL22;MRPL37;MRPL28;MRPL36;MRPS31;MRRF;MRPS27;MRPL4;MRPL16;MRPS26;MRPL17;MRPS24,57
cellular macromolecule biosynthetic process (GO:0034645),0.00018696177442691984,98/128,BLM;GSPT2;MRPS16;FUT9;NT5M;BARD1;RPS12;PTH;MRPL11;FAM111B;EXT1;RBMS1;DRG1;TOP1;RFC2;MRPS18C;RPL35A;MRPL37;MRPL28;ZAR1;HUS1;TIPIN;RECQL4;PPP5C;MRPS33;E2F1;TSFM;RPA3;MRPS7;POLR2B;RPS16;RAD1;BCL3;NR4A2;POLR2E;RPS6KB2;EEF1A2;IGHMBP2;RFC5;RPS3;RPA1;RECQL5;PWP1;MRPL36;RPA4;YARS2;CLSPN;RPL8;GRWD1;CHEK1;TOPBP1;POLR2F;TOP1MT;POLA1;IGF2BP3;UPF1;EEF2;SRBD1;RPS18;HOXD3;MRPL27;MRPS18B;THAP1;POLR2G;RPL7;MRPL13;TYMS;RPS20;RPL36;WRN;EIF4G1;MRPL23;POLR2J;CDC6;POLE2;RMI1;POLR2C;MRPS36;POLA2;TUFM;NKX2-8;EEFSEC;EPC1;MRPL51;RPS21;MRPS17;BRIP1;ASMT;POLR2I;MRPL9;MRPS14;GOLPH3;MRRF;RPS9;RPS23;ATR;POLR2H;RNASEH2A,0.008049214550787893,59/128,POLA1;COPS5;EEF2;RAD1;GSPT2;MRPS16;NR4A2;RPA2;SRBD1;RPS18;RPS12;HOXD3;MRPS36;POLA2;TUFM;MRPL51;NFKBIB;RPS21;RFC5;TOP1;MRPL43;PABPC4;RPL3L;MRPS18C;BRIP1;THAP1;RPS3;POLR2G;TOPORS;MRPL37;RPA1;RECQL5;TAF1B;MRPS14;MRPL28;GOLPH3;PWP1;MRPL36;MRRF;RPL36;YARS2;WRN;INHA;RPL8;TIPIN;RPS23;RECQL4;PPP5C;ATR;POLR2J;RPS4Y2;CHEK1;RNASEH2A;RPA3;TOPBP1;TOP1MT;POLR2B;POLE2;PTMS,128
translational elongation (GO:0006414),0.0001974108797361148,50/60,MRPS25;MRPL15;MRPL44;MRPL14;EEF2;MRPS16;MRPL54;MRPS23;MRPL50;EEF1A2;MRPS36;MRPL11;TUFM;MRPL27;MRPL51;MRPS35;EEFSEC;MRPS34;MRPS2;MRPS9;MRPS17;MRPS18B;GADD45GIP1;MRPS18C;MRPL1;CHCHD1;MRPL9;MRPL40;MRPS14;MRPL22;MRPL37;MRPL28;MRPS22;ZNF598;MRPL36;MRPL13;OXA1L;MRPS27;MRPL12;MRPL4;MRPL16;MRPS26;MRPL23;MRPS33;MRPL17;MRPS24;TSFM;MRPL48;MRPS7;MRPS30,0.007115187677217171,31/60,MRPL15;MRPL14;EEF2;MRPS16;MRPS23;MRPL50;MRPS36;MRPS28;TUFM;MRPL51;MRPS35;MRPS34;MRPS9;MRPL43;GADD45GIP1;MRPS18C;MRPL1;MRPS14;MRPL22;MRPL37;MRPL28;ZNF598;MRPL36;GFM1;MRPS31;MRPS27;MRPL4;MRPL16;MRPS26;MRPL17;MRPS24,60
regulation of posttranscriptional gene silencing (GO:0060147),0.00020671477639098857,22/23,NUP37;NUP133;NUP214;NUP107;POLR2E;POLR2C;POLR2I;POLR2G;RAE1;NUP205;NUP62;IPO8;NUP35;NUP85;EIF4G1;POLR2J;AAAS;NUP98;POLR2H;POLR2F;NUP54;POLR2B,0.7610291299009153,7/23,NUP85;POLR2G;POLR2J;NUP205;NUP98;POLR2B;NUP35,23
regulation of gene silencing by RNA (GO:0060966),0.00020671477639098857,22/23,NUP37;NUP133;NUP214;NUP107;POLR2E;POLR2C;POLR2I;POLR2G;RAE1;NUP205;NUP62;IPO8;NUP35;NUP85;EIF4G1;POLR2J;AAAS;NUP98;POLR2H;POLR2F;NUP54;POLR2B,0.7610291299009153,7/23,NUP85;POLR2G;POLR2J;NUP205;NUP98;POLR2B;NUP35,23
mitochondrial translation (GO:0032543),0.0002404279900396769,52/63,MRPS25;MRPL15;MRPL44;MRPL14;MRPS16;MRPL54;RARS2;NDUFA7;MRPS23;MRPL50;MRPS36;MRPL11;TUFM;MRPL27;MRPL51;MRPS35;MRPS34;MRPS2;MRPS9;MRPS17;MRPS18B;GADD45GIP1;MRPS18C;MRPL1;CHCHD1;MRPL9;MRPL40;MRPS14;MRPL22;MRPL37;MRPL28;MRPS22;MRPL36;MRPL13;OXA1L;MRRF;MRPS27;MRPL12;MRPL4;MTIF2;MRPL16;MRPS26;MRPL23;MRPS33;LARS2;IARS2;MRPL17;MRPS24;TSFM;MRPL48;MRPS7;MRPS30,0.004237062893056354,33/63,MRPL15;MRPL14;MRPS16;MRPS23;NDUFA7;MRPL50;MRPS36;MRPS28;TUFM;MRPL51;MRPS35;MRPS34;MRPS9;MRPL43;GADD45GIP1;MRPS18C;MRPL1;MRPS14;MRPL22;MRPL37;MRPL28;MRPL36;GFM1;MRPS31;MRRF;MRPS27;MRPL4;MRPL16;MRPS26;LARS2;IARS2;MRPL17;MRPS24,63
DNA metabolic process (GO:0006259),0.00030312660024293584,87/113,TOP2A;ERCC5;BLM;PURA;BARD1;LONP1;XPC;TOP1;RFC2;NTHL1;LIG1;ALKBH1;RNASEH1;FBXO6;PARG;HUS1;XRCC2;BTG2;UBE2U;PNKP;MSH2;RECQL4;RPA3;GMNN;HELLS;RAD1;IGHMBP2;SMARCAD1;RFC5;SMUG1;THAP9;RPA1;DNASE1L3;SUPV3L1;DNASE1L2;RECQL5;RPA4;PSME4;TRIM28;CHEK1;TOPBP1;TOP1MT;POLH;ERCC4;POLA1;UPF1;NUDT15;DOT1L;KPNA2;TRRAP;REXO4;GTF2H1;DDX23;TREX2;GTF2H4;NEIL1;TOP3B;RAD18;ENDOG;FANCA;TYMS;WRN;GADD45A;PARP2;CDC6;POLE2;DDB2;GLRX2;CHRNA4;MBD4;TERF2IP;POLQ;FANCG;FANCC;POLA2;RAD51AP1;PARP1;NEIL3;NOC3L;UBA52;CHD1L;PRIM1;ATR;MGMT;DCLRE1B;UBE2T;RNASEH2A,0.00136076969916918,56/113,TOP2A;POLA1;MBD4;RAD1;NUDT15;RPA2;POLQ;FANCG;POLB;FANCC;LONP1;DDX23;TOP2B;TREX2;POLA2;SMARCAD1;RFC5;INTS3;RAD51AP1;TOP1;TINF2;GTF2H4;NTHL1;PARP1;ALKBH1;NEIL1;RECQL;RPA1;DNASE1L3;SUPV3L1;DNASE1L2;RECQL5;RAD18;RNASEH1;ENDOG;NOC3L;CHD1L;XRCC2;WRN;GADD45A;RECQL4;PSME4;RAD52;ATR;UBE2V2;PARP2;CHEK1;POLH;RPA3;TOPBP1;UBE2T;TOP1MT;RNASEH2A;HELLS;POLE2;GLRX2,113
rRNA processing (GO:0006364),0.00032645898603411553,51/62,EXOSC4;PIH1D1;RIOK3;MDN1;RPS16;PWP2;IMP4;EXOSC9;UTP3;WDR46;TEX10;TFB1M;PDCD11;TBL3;RRP9;DDX49;DKC1;SART1;RCL1;HEATR1;WDR18;BOP1;MRPL1;LSM6;NVL;IMP3;RPL35A;NOC4L;LYAR;SRFBP1;UTP6;POP5;UBA52;EXOSC5;NAT10;EXOSC1;RPL7;MPHOSPH6;RPL36;RPS9;RIOK2;DDX27;RPL8;DHX37;BYSL;EXOSC2;NOL11;UTP18;RRP12;XRN2;WDR12,0.43990718606359136,23/62,EXOSC4;PIH1D1;EXOSC9;WDR46;TEX10;TFB1M;PDCD11;RRP9;DDX49;DKC1;SART1;MRTO4;MRPL1;LSM6;LYAR;FCF1;MPHOSPH6;RPL36;WDR75;RPL8;BYSL;EXOSC2;UTP18,62
mitochondrial translational termination (GO:0070126),0.0004145605647765576,45/54,MRPS25;MRPL15;MRPL44;MRPL14;MRPS16;MRPL54;MRPS23;MRPL50;MRPS36;MRPL11;MRPL51;MRPL27;MRPS35;MRPS34;MRPS2;MRPS9;MRPS17;MRPS18B;GADD45GIP1;MRPS18C;MRPL1;CHCHD1;MRPL9;MRPL40;MRPS14;MRPL22;MRPL37;MRPL28;MRPS22;MRPL36;MRPL13;OXA1L;MRRF;MRPS27;MRPL12;MRPL4;MRPL16;MRPS26;MRPL23;MRPS33;MRPL17;MRPS24;MRPL48;MRPS7;MRPS30,0.009652922920248523,28/54,MRPL15;MRPL14;MRPS16;MRPS23;MRPL50;MRPS36;MRPS28;MRPL51;MRPS35;MRPS34;MRPS9;MRPL43;GADD45GIP1;MRPS18C;MRPL1;MRPS14;MRPL22;MRPL37;MRPL28;MRPL36;MRPS31;MRRF;MRPS27;MRPL4;MRPL16;MRPS26;MRPL17;MRPS24,54
