set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
RNA transport,1.7670674535230828e-06,58/66,NUP37;EIF3H;THOC2;UPF1;EIF2B5;NUP133;THOC1;PABPC5;NUP214;NUP107;EIF5B;NUP210L;EIF2B1;NXF5;THOC7;EIF4EBP1;ACIN1;EEF1A2;GEMIN5;NXT1;ELAC1;RPP40;SENP2;XPO5;TACC3;FUS;EIF3J;NXT2;RAE1;THOC3;NUP205;FXR2;EIF4E2;POP5;EIF2B2;NXF3;PNN;GEMIN6;EIF4A3;RPP38;NUP62;NUP35;RPP25;TGS1;MAGOH;DDX19A;NUP85;EIF4G1;DDX19B;AAAS;EIF1B;NUP98;DDX20;THOC6;PABPC3;CLNS1A;NUP54;POP7,0.21029589105883065,27/66,EIF3H;RANGAP1;THOC2;THOC1;PABPC5;NXF5;THOC5;EIF4EBP1;GEMIN5;RPP40;SENP2;TACC3;PABPC4;THOC3;NUP205;FXR2;EIF4E2;EIF2B2;PNN;GEMIN6;NUP35;NUP85;DDX19B;NUP98;THOC6;RPP21;POP7,66
Spliceosome,0.0003314810211038825,43/51,SF3B2;THOC2;THOC1;PRPF6;AQR;ACIN1;SNRPB2;DDX23;PRPF3;SMNDC1;SART1;PRPF40A;USP39;HSPA1L;SNRPG;FUS;SF3B4;LSM6;SF3B5;CTNNBL1;PRPF18;SF3B1;LSM7;DHX8;DHX15;THOC3;CDC5L;BUD31;DHX16;LSM2;EIF4A3;EFTUD2;HSPA6;MAGOH;PPIH;PQBP1;PRPF4;ISY1;SNRPD3;SNRPE;PHF5A;DHX38;SNW1,0.23669896460627407,21/51,U2AF1L4;THOC2;THOC1;SNRPB2;DDX23;SART1;SF3A2;USP39;SF3B4;LSM6;LSM2;LSM7;DHX8;THOC3;EFTUD2;HSPA6;PQBP1;SNRPE;PHF5A;TRA2A;SNW1,51
Amyotrophic lateral sclerosis,0.0007561124384248033,113/153,NDUFB5;NDUFS8;NUP133;NDUFB8;COX5B;PSMA4;NRG4;UQCRQ;PSMB3;NXT1;ITPR3;UQCRC2;NDUFS6;PSMC3;NDUFA13;DDIT3;PSMA5;NDUFB3;PSMD14;DNAL1;NDUFS3;ATF6;UQCRC1;NXT2;RAE1;PFN3;TANK;NRG2;NDUFB1;UBQLN2;PSMD2;DNAH9;NDUFA11;TUBA3C;NUP37;NUP214;PSMD8;SQSTM1;ULK2;NDUFA7;PSMD4;PSMD11;TNFRSF1A;TUBA1A;BAD;ATXN2;MAP3K5;GABARAP;ANXA7;PPP3CC;COX6B1;NUP205;RB1CC1;DNAL4;NXF3;NDUFC1;MAPK11;COX6C;NDUFA3;COX7A2;PSMD7;NDUFB10;PSMA2;PSMD6;NUP98;TUBAL3;TUBB2A;NUP107;DCTN2;TRAF2;NUP210L;CYC1;NXF5;TNFRSF1B;UBQLN4;GPX2;TUBB8;KIF5B;COX8A;GPX6;DNALI1;TUBA8;PIK3R4;NDUFA4L2;GRIA1;DNAH2;NDUFA8;PSMB4;NUP35;NUP85;FIG4;NDUFAB1;DCTN5;COX7B2;COX7B;C9ORF72;PIK3C3;WDR41;GPX5;COX7C;NDUFB11;FUS;GPX3;NUP62;KIF5A;ACTR1B;PSMC5;DAXX;PRPH;MAP2K6;COX7A1;SDHB;NUP54,0.47902560685269024,55/153,MAPK12;TUBA3C;NDUFS8;NDUFB8;DCTN2;TRAF2;COX5B;PSMA4;NDUFA7;CYC1;NXF5;TNFRSF1B;UBQLN4;ITPR3;PSMC2;COX4I2;PSMC3;GPX2;NDUFA13;TUBB8;NDUFV2;NDUFB2;COX8A;DNALI1;UBQLN3;MAP3K5;GABARAP;NDUFS3;NRG3;ATF6;NUP205;RB1CC1;NDUFA8;DNAL4;PSMB4;NDUFC1;TANK;PFN3;NUP35;NUP85;PFN4;PSMD2;ACTR1B;PSMD7;NDUFB10;PSMC5;DAXX;WIPI1;DNAH9;NUP98;MAP2K6;NDUFAB1;COX7A1;C9ORF72;DNAI1,153
Ribosome,0.002610103812734368,39/48,MRPL15;RPS16;MRPL14;MRPS16;RPS18;RPS12;MRPL11;MRPL27;RPS21;MRPS2;MRPS9;MRPS17;MRPS18C;RPL36AL;MRPL1;MRPL9;RPS3;RPL35A;RPL22L1;MRPL22;MRPS14;RPS27L;MRPL28;UBA52;MRPL36;MRPL13;RPL7;RPS20;RPL36;RPL10L;RPS9;MRPL12;MRPL4;MRPL16;RPL8;MRPL23;RPS23;MRPL17;MRPS7,0.050547669077392166,23/48,MRPL15;MRPL14;MRPS16;RPS18;RPS12;RPS21;MRPS9;RPL3L;MRPS18C;MRPL1;RPS3;RPL22L1;MRPL22;MRPS14;MRPL28;MRPL36;RPL36;MRPL4;MRPL16;RPL8;RPS23;MRPL17;RPS4Y2,48
Aminoacyl-tRNA biosynthesis,0.004514438495246235,15/16,NARS2;DARS2;WARS2;RARS2;FARS2;LARS2;IARS2;FARSA;SARS2;TARS2;MTFMT;MARS2;AARS2;PSTK;YARS2,0.16887503738493567,8/16,DARS2;FARS2;LARS2;IARS2;FARSA;TARS2;PSTK;YARS2,16
mRNA surveillance pathway,0.00474558919175261,32/39,PPP2R2A;UPF1;GSPT2;PABPC5;SSU72;CSTF2;NXF5;CPSF3;ACIN1;NXT1;PPP2R2B;SYMPK;MSI2;ETF1;PPP2R5B;PPP2R3B;FUS;SMG5;PAPOLB;PPP2R5E;NXT2;CSTF1;PNN;NXF3;EIF4A3;DAZAP1;CPSF1;MAGOH;DDX19A;DDX19B;MSI1;PABPC3,0.780184327183163,12/39,PPP2R2B;GSPT2;PABPC5;MSI2;PCF11;DDX19B;CSTF1;PABPC4;PNN;NXF5;ETF1;CPSF3,39
DNA replication,0.0069370990379530205,14/15,POLA1;LIG1;POLA2;RNASEH2B;RPA4;PRIM1;RPA1;RFC5;RNASEH1;RNASEH2A;RPA3;SSBP1;RFC2;POLE2,0.04561544795240129,9/15,POLA1;POLA2;RPA2;RPA1;RFC5;RNASEH1;RNASEH2A;RPA3;POLE2,15
Huntington disease,0.00993542356512255,91/127,NDUFB5;NDUFS8;NDUFB8;COX5B;PSMA4;CREB3;UQCRQ;PSMB3;PSMC3;UQCRC2;NDUFA13;NDUFS6;PSMA5;NDUFB3;CLTCL1;PSMD14;DNAL1;NDUFS3;UQCRC1;NDUFB1;PSMD2;AP2S1;DNAH9;POLR2B;NDUFA11;TUBA3C;PSMD8;POLR2E;ULK2;NDUFA7;PSMD4;PSMD11;TUBA1A;MAP3K5;COX6B1;RB1CC1;DNAL4;CLTA;NDUFC1;COX6C;NDUFA3;COX7A2;PSMD7;NDUFB10;PSMA2;PSMD6;TUBAL3;POLR2F;CREB3L1;TUBB2A;SLC25A31;DCTN2;TRAF2;CYC1;GPX2;TUBB8;KIF5B;COX8A;GPX6;DNALI1;TUBA8;PIK3R4;NDUFA4L2;POLR2G;GRIA1;DNAH2;NDUFA8;PSMB4;CREB3L4;POLR2J;NDUFAB1;DCTN5;COX7B2;TAF4;COX7B;HDAC1;PIK3C3;POLR2C;SIN3A;GPX5;COX7C;PPIF;NDUFB11;POLR2I;GPX3;KIF5A;ACTR1B;PSMC5;POLR2H;COX7A1;SDHB,0.4609168237040911,46/127,TUBA3C;NDUFS8;TAF4;NDUFB8;DCTN2;TRAF2;COX5B;CREB3;PSMA4;NDUFA7;CYC1;HDAC1;PSMC2;COX4I2;PSMC3;GPX2;NDUFA13;TUBB8;NDUFV2;NDUFB2;COX8A;CLTCL1;DNALI1;MAP3K5;TBP;NDUFS3;POLR2G;RB1CC1;NDUFA8;DNAL4;CLTA;PSMB4;NDUFC1;PSMD2;ACTR1B;PSMD7;NDUFB10;PSMC5;POLR2J;WIPI1;DNAH9;NDUFAB1;UCP1;COX7A1;DNAI1;POLR2B,127
Parkinson disease,0.009999357547324955,77/106,NDUFB5;NDUFS8;NDUFB8;COX5B;PSMA4;UQCRQ;HTRA2;PSMB3;ITPR3;PSMC3;UQCRC2;NDUFA13;NDUFS6;DDIT3;PSMA5;NDUFB3;PSMD14;NDUFS3;ATF6;UQCRC1;NDUFB1;PSMD2;CAMK2D;NDUFA11;TUBA3C;PSMD8;NDUFA7;PSMD4;PSMD11;SNCAIP;TUBA1A;SLC18A2;MAP3K5;COX6B1;GNAI1;TRAP1;NDUFC1;TXN2;COX6C;NDUFA3;COX7A2;PSMD7;NDUFB10;PSMA2;PSMD6;NFE2L2;TUBAL3;RYR3;TUBB2A;SLC25A31;CYC1;TUBB8;KIF5B;COX8A;TUBA8;SLC6A3;NDUFA4L2;CALML6;NDUFA8;PSMB4;GNAI3;UBA7;NDUFAB1;COX7B2;COX7B;CALML4;SLC18A1;SNCA;COX7C;PPIF;NDUFB11;UBA52;KIF5A;PSMC5;DAXX;COX7A1;SDHB,0.15741489938611225,43/106,TUBA3C;NDUFS8;CALML4;MAOA;NDUFB8;CYC1;COX5B;PSMA4;NDUFA7;HTRA2;SNCA;ITPR3;PSMC2;COX4I2;PSMC3;NDUFA13;TUBB8;NDUFV2;UBE2J1;NDUFB2;COX8A;SLC18A2;MAP3K5;SLC6A3;NDUFS3;ATF6;CALML6;GNAI1;NDUFA8;TRAP1;PSMB4;NDUFC1;PSMD2;PSMD7;NDUFB10;PSMC5;UBE2L6;DAXX;GNAI3;UBA7;NDUFAB1;GNAI2;COX7A1,106
RNA polymerase,0.011204218572851997,16/18,POLR1E;POLR2I;POLR2G;POLR3E;POLR1C;POLR3GL;POLR2J;POLR2C;POLR2E;POLR2H;POLR3D;POLR3H;POLR2F;POLR3K;POLR2B;POLR3G,0.14821406831866596,9/18,POLR1E;POLR2G;POLR3E;POLR2J;POLR3D;POLR3H;POLR3K;POLR2B;POLR3C,18
Cardiac muscle contraction,0.0161663178416149,37/48,ATP1B2;CACNA2D4;ATP2A1;ASPH;MYL2;CYC1;COX5B;UQCRQ;CACNG1;CACNG5;ATP1B3;CACNB4;UQCRC2;SLC9A1;COX8A;COX7C;RYR2;CACNG8;COX6B1;UQCRC1;COX7B2;ATP1A3;CACNA1F;SLC9A7;HRC;CASQ2;CACNG4;COX6C;TNNI3;COX7A2;CACNG2;CACNG6;COX7A1;ATP1A2;CACNG3;ATP1A1;COX7B,0.43623812305579457,18/48,ATP1B3;CACNG7;COX4I2;ATP1B2;COX7A1;CACNA2D4;ATP1A3;ATP1A1;ASPH;CYC1;COX5B;COX8A;TNNI3;CACNG1;CACNG3;ATP1B4;RYR2;CACNG4,48
Nucleotide excision repair,0.018864121494133485,20/24,ERCC5;POLE2;GTF2H1;CETN2;XPC;RFC5;CCNH;RFC2;GTF2H5;GTF2H4;CDK7;LIG1;RPA1;RPA4;RBX1;RPA3;RAD23A;ERCC6;DDB2;ERCC4,0.4929569547526611,9/24,CETN2;RPA2;RPA1;RFC5;RBX1;RPA3;CCNH;POLE2;GTF2H4,24
Ribosome biogenesis in eukaryotes,0.02057808163804471,27/34,MDN1;PWP2;IMP4;NXF5;REXO1;TBL3;GTPBP4;NXT1;DKC1;RCL1;HEATR1;NVL;IMP3;NXT2;UTP6;POP5;NAT10;NXF3;RPP38;RPP25;SPATA5;RIOK2;RBM28;UTP18;XRN2;RPP40;POP7,0.8195693814997078,10/34,SPATA5;RBM28;WDR75;DKC1;FCF1;UTP18;NXF5;RPP40;POP7;GTPBP4,34
Fanconi anemia pathway,0.03294583712988568,23/29,BLM;FANCG;FANCC;RMI1;FANCB;PALB2;TELO2;EME1;WDR48;FANCF;BRIP1;TOP3B;RPA1;BRCA2;FANCA;RPA4;POLN;ATR;REV3L;UBE2T;RPA3;POLH;ERCC4,0.19285808068212656,13/29,FANCE;RPA2;RPA1;ATR;POLN;FANCG;FANCC;FANCF;UBE2T;TELO2;RPA3;POLH;BRIP1,29
Cell cycle,0.03420747860816522,36/48,ANAPC10;ANAPC2;ZBTB17;SMC3;CCNE2;CDKN1C;HDAC1;CDC14A;BUB1;YWHAH;GADD45G;CDC23;WEE1;PTTG2;E2F3;CCNB2;BUB1B;CCNH;CDK7;PTTG1;CDC14B;CCNA2;CDC26;CCNE1;CDC16;TTK;GADD45A;ANAPC11;CDC20;TFDP2;ATR;CDC6;RBX1;E2F1;CHEK1;CCNB3,0.013128183447646088,25/48,ANAPC10;CDKN2C;SMC1B;HDAC1;YWHAH;TGFB1;CDC23;WEE1;PTTG2;E2F3;BUB1B;CCNH;PTTG1;CCNA2;CCNE1;ANAPC4;TTK;ANAPC13;GADD45A;ANAPC11;CDC20;ATR;RBX1;CHEK1;CCNB3,48
