set,Real_Score,Real_Rank,Real_Count,Syn_Score,Syn_Rank,Syn_Count,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes
mitochondrial gene expression (GO:0140053),1.0658469406479574,1.0,21,0.8957529933675419,85.0,21,0.015236020980121745,0.30025512773844354,18/21,MRPS34;MRPS18B;MRPS16;MRPL23;MRPS24;MRPL16;TFB2M;MRPS17;MRPS14;FASTKD5;RARS2;NDUFA7;MRPS7;MRPL12;IARS2;LARS2;MRPL51;MRPS2,0.004788369901793383,0.9255234967323496,21/21,MRPS34;MRPL16;RARS2;MRPL51;MRPS15;MRPS16;TFB2M;MRPS17;MRPS14;FASTKD5;MRPL12;SLC25A33;MRPS18B;MRPL23;MRPS24;NDUFA7;MRPS2;MRPS7;IARS2;LARS2;MRPS28
spliceosomal snRNP assembly (GO:0000387),1.0113879548261209,2.0,15,1.0161057504264521,13.0,15,0.0069370990379530205,0.23007656069273733,14/15,DDX20;CD2BP2;COIL;GEMIN6;SART1;LSM2;PRPF3;GEMIN5;PRPF6;SNRPE;SNRPD3;TGS1;CLNS1A;SNRPG,0.022058092172819746,0.9999841444821818,15/15,DDX20;GEMIN6;CD2BP2;COIL;SART3;SART1;LSM2;PRPF3;GEMIN5;PRPF6;SNRPE;SNRPD3;TGS1;CLNS1A;SNRPG
microtubule cytoskeleton organization involved in mitosis (GO:1902850),1.007787968295682,3.0,48,1.1022881622621874,5.0,48,0.0008746134056865657,0.06574177432744019,40/48,NUP133;NUP98;TUBG1;PMF1;KIF2C;NUP85;DYNLL2;BUB1B;NEK6;DCTN2;RCC1;CDCA8;CENPP;TAOK1;KIF18A;NUP107;DLGAP5;TACC3;ERCC6L;CENPE;ITGB3BP;CDC20;PLK2;CENPQ;CENPH;CENPK;DYNC1H1;BUB1;AURKB;INCENP;SPC24;KNTC1;DSN1;NUP37;EML1;SPC25;CENPM;KIF4A;TTK;EFHC1,0.06295983644621961,0.9999841444821818,42/48,MIS12;NUP98;AURKC;TUBG1;PMF1;KIF2C;NUP85;DYNLL2;BUB1B;NEK6;DCTN2;CDCA8;CENPP;TAOK1;KIF18A;NUP107;DLGAP5;TACC3;ERCC6L;CENPE;NSL1;ITGB3BP;CDC20;PLK2;CENPQ;CENPH;CENPK;DYNC1H1;KIF2A;BUB1;AURKB;INCENP;SPC24;KNTC1;DSN1;NUP37;EML1;SPC25;CENPM;KIF4A;TTK;EFHC1
mitotic spindle organization (GO:0007052),0.9748203493966169,4.0,52,1.0850470742259644,7.0,52,0.000776693893240339,0.06567917734713616,43/52,SMC3;NUP133;NUP98;TPX2;KIFC2;TUBG1;PMF1;KIF2C;NUP85;DYNLL2;BUB1B;NEK6;DCTN2;RCC1;CDCA8;CENPP;TAOK1;KIF18A;NUP107;AAAS;DLGAP5;ERCC6L;CENPE;ITGB3BP;CDC20;PLK2;CENPQ;CENPH;CENPK;DYNC1H1;BUB1;AURKB;INCENP;SPC24;KNTC1;DSN1;NUP37;EML1;SPC25;CENPM;KIF4A;TTK;EFHC1,0.035766601434317605,0.9999841444821818,46/52,SMC3;MIS12;NUP98;TPX2;KIFC2;AURKC;TUBG1;PMF1;KIF2C;NUP85;DYNLL2;BUB1B;NEK6;DCTN2;CDCA8;CENPP;TAOK1;KIF18A;NUP107;AAAS;CEP192;DLGAP5;ERCC6L;CENPE;NSL1;ITGB3BP;CDC20;PLK2;CENPQ;CENPH;CENPK;DYNC1H1;KIF2A;BUB1;AURKB;INCENP;SPC24;KNTC1;DSN1;NUP37;EML1;SPC25;CENPM;KIF4A;TTK;EFHC1
mitochondrial translational termination (GO:0070126),0.9690577598294743,5.0,54,0.989074867404329,20.0,54,0.0004145605647765576,0.054937839276153026,45/54,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPL37;MRPL48;MRPS16;MRPS35;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;MRPS18B;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;MRPS30;MRPS25;MRPS2;MRPL13;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS36,0.0001456856771124948,0.04927818028330136,52/54,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL35;MRPL41;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPS15;MRPL48;MRPS16;MRPS35;MRPL43;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;MRPS18B;MRPS5;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;MRPS30;MRPS25;MRPS2;MRPL13;MRPL32;MRPS31;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS28;MRPS36
mitochondrial translational elongation (GO:0070125),0.9471409655061498,6.0,56,0.9825784013589703,25.0,56,0.0006830832757513568,0.06443822035635906,46/56,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPL37;MRPL48;MRPS16;TUFM;MRPS35;MRPL15;MRPL1;MRPS17;MRPS14;MRPL12;MRPS18B;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;MRPS30;MRPS25;MRPS2;MRPL13;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS36,9.362809312158459e-05,0.04927818028330136,54/56,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL35;MRPL41;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPS15;MRPL48;MRPS16;TUFM;MRPS35;MRPL43;MRPL15;MRPL1;MRPS17;MRPS14;MRPL12;GFM1;MRPS18B;MRPS5;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;MRPS30;MRPS25;MRPS2;MRPL13;MRPL32;MRPS31;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS28;MRPS36
translational termination (GO:0006415),0.9446656568533396,7.0,57,0.9633402131019024,33.0,57,0.00015776268239428958,0.04647129578909755,48/57,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;ETF1;MRPL22;N6AMT1;MRPL27;MRPL9;MRPS26;MRPL51;MRPL37;MRPL48;MRPS16;MRPS35;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;GSPT2;MRPS18B;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;MRPS30;MRPS25;MRPS2;MRPL13;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS36,0.0004291017265559869,0.11611492720605006,54/57,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL35;ETF1;MRPL41;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPS15;MRPL48;MRPS16;MRPS35;MRPL43;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;GSPT2;MRPS18B;MRPS5;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;MRPS30;MRPS25;MRPS2;MRPL13;MRPL32;MRPS31;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS28;MRPS36
translational elongation (GO:0006414),0.9343460111321896,8.0,60,0.9577162087894506,39.0,60,0.0001974108797361148,0.04647129578909755,50/60,MRPL14;MRPS34;MRPS33;MRPS18C;EEF2;MRPS23;MRPL50;MRPL16;MRPL11;MRPL22;EEFSEC;MRPL27;MRPL9;MRPS26;MRPL51;MRPL37;MRPL48;EEF1A2;MRPS16;TUFM;MRPS35;MRPL15;MRPL1;MRPS17;MRPS14;MRPL12;MRPS18B;MRPL23;ZNF598;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;MRPS30;MRPS25;MRPS2;MRPL13;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS36,3.840002365750493e-05,0.04927818028330136,58/60,MRPL14;MRPS34;MRPS33;MRPS18C;EEF2;MRPS23;MRPL50;MRPL16;MRPL11;MRPL35;MRPL41;MRPL22;EEFSEC;MRPL27;MRPL9;MRPS26;MRPL51;MRPS15;MRPL48;EEF1A2;MRPS16;TUFM;MRPS35;MRPL43;MRPL15;MRPL1;MRPS17;MRPS14;MRPL12;GFM1;MRPS18B;MRPS5;MRPL23;ZNF598;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;MRPS30;MRPS25;MRPS2;MRPL13;MRPL32;MRPS31;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS28;MRPS36
mitochondrial translation (GO:0032543),0.9187794600760956,9.0,63,0.9569398254809212,40.0,63,0.0002404279900396769,0.04647129578909755,52/63,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;RARS2;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPL37;MRPL48;MRPS16;TUFM;MTIF2;MRPS35;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;MRPS18B;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;NDUFA7;MRPS30;MRPS25;MRPS2;MRPL13;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;IARS2;OXA1L;LARS2;MRPS9;MRPL36;MRPS27;MRPL44;MRPS36,0.00012336543746304952,0.04927818028330136,60/63,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL35;RARS2;MRPL41;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPS15;MRPL48;MRPS16;TUFM;MTIF2;MRPS35;MRPL43;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;GFM1;MRPS18B;MRPS5;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;NDUFA7;MRPS30;MRPS25;MRPS2;MRPL13;MRPL32;MRPS31;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;IARS2;OXA1L;LARS2;MRPS9;MRPL36;MRPS27;MRPL44;MRPS28;MRPS36
maturation of SSU-rRNA (GO:0030490),0.9149495637596199,10.0,15,0.8980405805747949,82.0,15,0.0069370990379530205,0.23007656069273733,14/15,TSR2;RIOK2;LSM6;NOL11;SRFBP1;UTP3;WDR46;RPS16;NAT10;UTP6;PWP2;DHX37;HEATR1;RIOK3,0.11794078354041247,0.9999841444821818,14/15,TSR2;RIOK1;RIOK2;LSM6;NOL11;UTP3;WDR46;RPS16;NAT10;UTP6;PWP2;DHX37;HEATR1;RIOK3
