set,Real_Score,Real_Rank,Real_Count,Syn_Score,Syn_Rank,Syn_Count,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes
DNA replication,1.1910871732802464,1.0,15,1.1775622298088564,1.0,15,0.0069370990379530205,0.2655917917387728,14/15,RFC5;RPA1;RFC2;POLA1;SSBP1;RNASEH2B;RPA4;RNASEH1;RPA3;PRIM1;POLA2;LIG1;POLE2;RNASEH2A,0.022058092172819746,0.9859587925449086,15/15,RFC5;RPA1;RFC2;POLA1;SSBP1;RNASEH2B;RPA4;RNASEH1;RPA3;PRIM1;POLA2;LIG1;POLE2;RPA2;RNASEH2A
RNA polymerase,0.9618026934687737,2.0,18,0.7771130788695679,53.0,18,0.011204218572851997,0.30027305775243357,16/18,POLR2I;POLR1C;POLR2J;POLR3K;POLR3D;POLR2B;POLR3E;POLR2F;POLR2C;POLR3H;POLR1E;POLR3G;POLR3GL;POLR2H;POLR2E;POLR2G,0.6213841396512345,0.9972760759289452,14/18,POLR3C;POLR2I;POLR1C;POLR3K;POLR3D;POLR2B;POLR2F;POLR2C;POLR3H;POLR1E;POLR3GL;POLR2H;POLR2E;POLR2G
Ribosome,0.9572435350748982,3.0,48,0.8828264378159867,15.0,48,0.002610103812734368,0.17487695545320267,39/48,MRPL14;RPL10L;MRPL16;MRPL11;RPS18;MRPL22;MRPL27;RPS20;MRPL9;MRPS16;UBA52;MRPL15;MRPL1;MRPS17;MRPS14;RPL8;MRPL12;RPL36AL;RPL35A;RPS9;RPS12;MRPL23;RPS3;RPS16;RPS21;MRPS2;RPS27L;RPL7;MRPL13;MRPL17;MRPL4;RPS23;MRPL28;RPL36;MRPS7;MRPS9;RPL22L1;MRPL36;MRPS18C,0.06295983644621961,0.9972760759289452,42/48,MRPL14;RPL10L;MRPL16;MRPL11;MRPL35;RPS4Y1;MRPL22;MRPL27;RPS20;MRPL9;MRPS15;MRPS16;UBA52;RPL11;MRPL15;MRPL1;MRPS17;MRPS14;RPL8;MRPL12;RPL36AL;RPL35A;RPS9;MRPS5;RPS12;MRPL23;RPS16;RPS21;MRPS2;MRPL13;MRPL32;MRPL17;MRPL4;RPS23;MRPL28;MRPS7;RPL26;RPS4Y2;MRPS9;RPL22L1;MRPL36;MRPS18C
Homologous recombination,0.9521436772260735,4.0,19,1.0521834702044854,3.0,19,0.08768841401858418,0.9999978724542887,15/19,RAD54B;BARD1;UIMC1;EME1;RPA1;BRIP1;SSBP1;RPA4;TOPBP1;BRCA2;RPA3;BLM;TOP3B;XRCC2;PALB2,0.007968301995684102,0.7404094124238751,19/19,BRCA2;RPA3;BLM;TOP3B;RAD54B;BARD1;UIMC1;RPA1;RAD52;BRIP1;RPA4;TOPBP1;RPA2;SYCP3;EME1;XRCC2;TOP3A;SSBP1;PALB2
Fanconi anemia pathway,0.8471726321488492,5.0,29,0.8958157409877437,10.0,29,0.03294583712988568,0.5989892322537725,23/29,TELO2;ATR;RMI1;BRCA2;RPA3;BLM;TOP3B;RPA1;BRIP1;FANCC;RPA4;POLN;FANCF;FANCA;ERCC4;FANCG;WDR48;EME1;REV3L;POLH;UBE2T;FANCB;PALB2,0.0828733764525242,0.9972760759289452,26/29,TELO2;ATR;RMI1;BRCA2;RPA3;BLM;TOP3B;RPA1;BRIP1;FANCC;RPA4;POLN;RPA2;POLI;FANCA;ERCC4;FANCG;WDR48;FANCE;EME1;REV3L;POLH;TOP3A;UBE2T;FANCB;PALB2
Ribosome biogenesis in eukaryotes,0.8037054447454187,6.0,34,0.7844367194733867,51.0,34,0.02057808163804471,0.4242250676150755,27/34,POP5;UTP18;NVL;NAT10;RCL1;RBM28;PWP2;IMP3;IMP4;NXF5;NXT2;NXT1;NXF3;GTPBP4;SPATA5;XRN2;DKC1;RPP40;RIOK2;POP7;MDN1;TBL3;REXO1;RPP25;UTP6;HEATR1;RPP38,0.49425717905606736,0.9972760759289452,27/34,POP5;FCF1;NAT10;RBM28;RCL1;PWP2;IMP3;IMP4;NXF5;TCOF1;NXT2;NXT1;RIOK1;GTPBP4;SPATA5;XRN2;DKC1;RPP40;RIOK2;POP7;TBL3;UTP14C;REXO1;UTP6;MPHOSPH10;HEATR1;RPP38
Cell cycle,0.7918309298726284,7.0,48,0.8876071817990201,13.0,48,0.03420747860816522,0.5989892322537725,36/48,CCNH;CDC16;SMC3;PTTG2;RBX1;ATR;CDC23;CDC6;E2F3;BUB1B;CCNB3;CCNE1;ANAPC10;CCNE2;CDC26;TFDP2;GADD45A;CDC14B;CDC14A;CDKN1C;ANAPC2;ANAPC11;CDC20;WEE1;CHEK1;HDAC1;YWHAH;GADD45G;CDK7;CCNA2;PTTG1;BUB1;CCNB2;ZBTB17;E2F1;TTK,0.21932858039498523,0.9972760759289452,40/48,CCNH;CDC16;SFN;SMC3;CDKN2C;PTTG2;ATR;CDC23;CDC6;E2F3;BUB1B;E2F1;CCNB3;CCNE1;ANAPC10;CCNE2;CDC26;TFDP2;GADD45A;CDC14B;CDC14A;CDKN1C;ANAPC2;ANAPC11;CDC20;WEE1;CHEK1;HDAC1;YWHAH;SMC1B;GADD45G;CDK7;CCNA2;PTTG1;ANAPC13;BUB1;CCNB2;ZBTB17;SMAD4;TTK
RNA transport,0.7811539852591596,8.0,66,0.8009923915593393,45.0,66,1.7670674535230828e-06,0.00047357407754418623,58/66,POP5;THOC7;NUP133;NUP98;DDX19A;PNN;FXR2;EIF3J;NUP85;MAGOH;EIF1B;CLNS1A;ACIN1;DDX20;THOC2;THOC6;NUP54;EIF3H;NUP62;EEF1A2;ELAC1;NXF5;NUP35;NXT2;EIF2B5;NXT1;EIF5B;UPF1;NUP107;AAAS;TGS1;GEMIN5;EIF4EBP1;TACC3;GEMIN6;RAE1;NUP214;SENP2;NXF3;EIF4G1;XPO5;PABPC3;NUP210L;RPP40;POP7;EIF2B2;DDX19B;THOC1;NUP37;FUS;PABPC5;EIF2B1;RPP25;EIF4E2;NUP205;EIF4A3;RPP38;THOC3,0.3581387013690665,0.9972760759289452,53/66,POP5;THOC7;NUP98;DDX19A;NUP85;EIF4EBP3;MAGOH;CLNS1A;ACIN1;DDX20;NUP62;THOC6;NUP54;EIF3H;EEF1A2;ELAC1;NXF5;NUP35;NXT2;EIF2B5;NXT1;EIF5B;NUP107;AAAS;TGS1;GEMIN5;EIF4EBP1;TACC3;GEMIN6;NUP88;RAE1;NUP214;SENP2;EIF4G1;XPO5;PABPC3;EIF3I;NUP210L;RPP40;POP7;EIF2B2;DDX19B;THOC1;NUP37;FUS;PABPC5;EIF2B3;THOC5;EIF4E2;NUP205;EIF4A3;RPP38;THOC3
Spliceosome,0.7463041279211472,9.0,51,0.8114770269102949,39.0,51,0.0003314810211038825,0.044418456827920255,43/51,CDC5L;SART1;PRPF40A;SNRPB2;ISY1;SNW1;PRPF6;MAGOH;SF3B2;PRPF4;ACIN1;THOC2;SMNDC1;LSM6;AQR;PHF5A;DHX16;LSM2;DDX23;HSPA1L;EFTUD2;PRPF18;SF3B5;SNRPG;USP39;SF3B4;PRPF3;LSM7;DHX8;SF3B1;SNRPD3;DHX15;PQBP1;CTNNBL1;THOC1;FUS;DHX38;SNRPE;PPIH;HSPA6;EIF4A3;THOC3;BUD31,0.01661457787609168,0.9859587925449086,46/51,CDC5L;SART1;PRPF40A;SNRPB2;ISY1;SNW1;PRPF6;MAGOH;SF3B2;PRPF4;ACIN1;SMNDC1;LSM6;AQR;PHF5A;DHX16;LSM2;DDX23;EFTUD2;PRPF18;RBMXL2;SF3B5;SNRPG;TRA2A;WBP11;USP39;SF3A2;SF3B4;PRPF3;U2AF1L4;LSM7;BCAS2;DHX8;SF3B1;SNRPD3;DHX15;PQBP1;CTNNBL1;THOC1;FUS;DHX38;SNRPE;HSPA6;EIF4A3;THOC3;BUD31
Pyrimidine metabolism,0.739129022993937,10.0,29,1.075377510365124,2.0,29,0.15213219441983006,0.9999978724542887,21/29,ENTPD4;CMPK2;NME7;TK1;RRM1;ENPP1;ENPP3;RRM2B;TYMS;CAD;UPB1;NME3;UMPS;UPP2;ENTPD1;NT5M;UCKL1;NT5C1A;DHODH;CTPS2;UCK2,0.3396118638320392,0.9972760759289452,24/29,CMPK2;NME7;TK1;RRM1;NME6;ENPP1;ENPP3;RRM2B;TYMS;CAD;UPB1;UMPS;ENTPD8;ENTPD6;UPP2;UCK1;NT5M;UCKL1;NT5C1A;ENTPD5;DHODH;CDA;CTPS2;UCK2
Nucleotide excision repair,0.7330892788951653,11.0,24,0.7268487574230639,99.0,24,0.018864121494133485,0.42129871336898117,20/24,CCNH;ERCC5;RBX1;XPC;RPA3;CETN2;RPA1;RPA4;POLE2;RFC5;DDB2;RFC2;ERCC6;RAD23A;ERCC4;GTF2H4;CDK7;LIG1;GTF2H5;GTF2H1,0.5406270376633594,0.9972760759289452,19/24,CCNH;ERCC5;XPC;RPA3;RPA1;RPA4;POLE2;RPA2;RFC5;DDB2;RFC2;GTF2H3;ERCC6;ERCC4;GTF2H4;CDK7;GTF2H5;LIG1;ERCC3
mRNA surveillance pathway,0.7216961741051924,12.0,39,0.8896810752774794,12.0,39,0.00474558919175261,0.21196965056494993,32/39,SSU72;CPSF3;DDX19A;PPP2R2B;PPP2R5E;PPP2R5B;PNN;MAGOH;PAPOLB;ACIN1;NXF5;SMG5;NXT2;MSI1;NXT1;PPP2R3B;UPF1;GSPT2;SYMPK;CPSF1;CSTF2;NXF3;CSTF1;MSI2;PABPC3;PPP2R2A;DDX19B;PABPC5;FUS;DAZAP1;EIF4A3;ETF1,0.7555319157435112,0.9972760759289452,29/39,SSU72;CPSF3;DDX19A;PPP2R2B;PPP2R5B;MAGOH;PPP2R2D;PAPOLB;ACIN1;RNGTT;NXF5;NXT2;MSI1;NXT1;PPP2R3B;GSPT2;SYMPK;CPSF1;CSTF2;CSTF1;MSI2;PABPC3;PPP2R2A;DDX19B;PABPC5;FUS;DAZAP1;EIF4A3;ETF1
