set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
"DNA replication, synthesis of RNA primer (GO:0006269)",1.7204056926289202,1.0,1.892121305013779,1.0
DNA strand elongation involved in DNA replication (GO:0006271),1.58384509702313,2.0,1.7839670388702502,12.0
nucleobase biosynthetic process (GO:0046112),1.5762538719797565,3.0,1.5900721426173192,17.0
mitotic DNA replication (GO:1902969),1.5722588545009397,4.0,1.7941862467422525,11.0
nuclear RNA surveillance (GO:0071027),1.5109575781454936,5.0,1.5206604300906477,20.0
ribonucleoside monophosphate biosynthetic process (GO:0009156),1.497883613256377,6.5,1.573438907451644,18.5
purine nucleoside monophosphate biosynthetic process (GO:0009127),1.497883613256377,6.5,1.573438907451644,18.5
sno(s)RNA 3'-end processing (GO:0031126),1.440289751791851,8.0,1.6733825926796073,15.0
ribose phosphate metabolic process (GO:0019693),1.4163296524761342,9.0,1.4055723330774608,22.0
DNA strand elongation (GO:0022616),1.4143431953268348,10.0,1.6973802141528025,14.0
rRNA 3'-end processing (GO:0031125),1.4086099542306123,11.0,1.665358776050336,16.0
U4 snRNA 3'-end processing (GO:0034475),1.3867244503971627,12.0,1.52010309721268,21.0
RNA localization to Cajal body (GO:0090670),1.3659343791790295,13.5,1.8876128148083893,2.5
scaRNA localization to Cajal body (GO:0090666),1.3659343791790295,13.5,1.8876128148083893,2.5
establishment of protein localization to chromosome (GO:0070199),1.3318687006766738,15.0,1.3963457467983036,25.0
positive regulation of telomerase RNA localization to Cajal body (GO:1904874),1.3197574756303327,16.5,1.8088331969155813,9.5
regulation of telomerase RNA localization to Cajal body (GO:1904872),1.3197574756303327,16.5,1.8088331969155813,9.5
regulation of establishment of protein localization to telomere (GO:0070203),1.3100825511698941,20.0,1.8776275726628573,6.0
"positive regulation of protein localization to chromosome, telomeric region (GO:1904816)",1.3100825511698941,20.0,1.8776275726628573,6.0
positive regulation of establishment of protein localization to telomere (GO:1904851),1.3100825511698941,20.0,1.8776275726628573,6.0
positive regulation of protein localization to Cajal body (GO:1904871),1.3100825511698941,20.0,1.8776275726628573,6.0
regulation of protein localization to Cajal body (GO:1904869),1.3100825511698941,20.0,1.8776275726628573,6.0
telomeric D-loop disassembly (GO:0061820),1.3010625605360486,23.0,1.208666813510497,59.0
chromatin remodeling at centromere (GO:0031055),1.2999670192626136,24.0,1.3263010275959723,38.0
positive regulation of establishment of protein localization (GO:1904951),1.286305336053137,25.0,1.7046633534185769,13.0
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),1.2709459864522803,26.0,1.2599614252667664,49.0
CENP-A containing nucleosome assembly (GO:0034080),1.2701172027823973,27.5,1.25384438010974,50.5
CENP-A containing chromatin organization (GO:0061641),1.2701172027823973,27.5,1.25384438010974,50.5
centromere complex assembly (GO:0034508),1.2696251719123797,29.0,1.319612574328364,42.0
negative regulation of mitotic metaphase/anaphase transition (GO:0045841),1.2450695355900239,30.0,1.3501472253246394,33.0
positive regulation of DNA-dependent DNA replication (GO:2000105),1.2392094280568398,31.0,1.4040544057975595,23.0
kinetochore organization (GO:0051383),1.23373172218147,32.0,1.3917658664684835,26.0
mitotic spindle assembly checkpoint signaling (GO:0007094),1.232121962570042,34.0,1.3251112362802477,40.0
spindle assembly checkpoint signaling (GO:0071173),1.232121962570042,34.0,1.3251112362802477,40.0
mitotic spindle checkpoint signaling (GO:0071174),1.232121962570042,34.0,1.3251112362802477,40.0
nucleocytoplasmic transport (GO:0006913),1.2311816567044005,36.0,1.1821329626145918,71.0
glutamine transport (GO:0006868),1.2167809821964106,37.0,1.4033492296718062,24.0
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",1.212640349083872,38.0,1.2715603504352204,45.0
negative regulation of meiotic cell cycle (GO:0051447),1.2051785758074813,39.0,1.154192650113584,81.0
histone mRNA metabolic process (GO:0008334),1.1950314086166771,40.0,1.1902964042384216,67.0
hepatocyte differentiation (GO:0070365),1.1904559473160263,41.0,1.1536899404729524,82.0
cristae formation (GO:0042407),1.1868338068936293,42.0,1.0700194302109152,123.0
nuclear transport (GO:0051169),1.1848139155077133,43.0,1.2079180977951165,60.0
polyadenylation-dependent snoRNA 3'-end processing (GO:0071051),1.1841309222310736,44.0,1.335352103271088,36.0
DNA replication initiation (GO:0006270),1.1789270689730595,45.0,1.148034522593045,83.0
tetrahydrofolate metabolic process (GO:0046653),1.1776699306005278,46.5,1.3435491154130277,34.5
tetrahydrofolate interconversion (GO:0035999),1.1776699306005278,46.5,1.3435491154130277,34.5
chromatin silencing at telomere (GO:0006348),1.173981406587903,48.0,1.115500844057553,93.0
mitotic spindle elongation (GO:0000022),1.1732737857576512,49.5,1.1746142862390136,73.5
mitotic spindle midzone assembly (GO:0051256),1.1732737857576512,49.5,1.1746142862390136,73.5
kinetochore assembly (GO:0051382),1.1684856807449335,51.0,1.2973177301030034,43.0
purine nucleobase metabolic process (GO:0006144),1.1645656987710686,52.0,1.1935059654587967,66.0
"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)",1.1639214458999891,53.0,1.2449403983044394,55.0
pyrimidine ribonucleotide biosynthetic process (GO:0009220),1.1503743163602487,54.5,1.099161394398766,100.5
pyrimidine nucleobase biosynthetic process (GO:0019856),1.1503743163602487,54.5,1.099161394398766,100.5
replication fork protection (GO:0048478),1.1478110393089924,56.0,1.1570915295224804,79.0
nuclear mRNA surveillance (GO:0071028),1.1474437879605182,57.0,1.1572447508675583,78.0
mitotic sister chromatid cohesion (GO:0007064),1.1452034098612056,58.0,1.385572569040598,27.0
DNA replication-independent nucleosome assembly (GO:0006336),1.137996959913813,59.0,1.1859678200665484,68.0
amino-acid betaine transport (GO:0015838),1.133261325899739,60.0,0.7967617529668417,599.0
positive regulation of stem cell proliferation (GO:2000648),1.1310013299483006,61.0,0.875151268991131,379.0
ribose phosphate biosynthetic process (GO:0046390),1.1269427566817805,62.0,1.0550498939772233,140.0
peptidyl-lysine dimethylation (GO:0018027),1.1232422369812296,63.0,1.0201546619309767,167.0
regulation of sister chromatid cohesion (GO:0007063),1.1210281569177025,64.0,1.3553302998079044,32.0
protein localization to microtubule cytoskeleton (GO:0072698),1.1188676121612742,65.0,1.2111642408734373,58.0
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",1.11005440074461,66.0,1.2260673344930788,56.0
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",1.1078076994538941,67.0,1.0942613466171716,103.0
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510),1.1061864478456325,68.5,1.1724790368739169,75.5
regulation of acyl-CoA biosynthetic process (GO:0050812),1.1061864478456325,68.5,1.1724790368739169,75.5
myelin assembly (GO:0032288),1.0953640208912805,70.0,1.3346888834453718,37.0
regulation of spindle organization (GO:0090224),1.093962367602995,71.0,1.114256366913907,94.0
DNA replication-dependent nucleosome assembly (GO:0006335),1.0896763729925074,72.5,1.205435867134187,61.5
DNA replication-dependent nucleosome organization (GO:0034723),1.0896763729925074,72.5,1.205435867134187,61.5
rRNA modification (GO:0000154),1.077270811477009,74.0,1.250982804942501,52.0
mitochondrial calcium ion transmembrane transport (GO:0006851),1.0760876557984331,75.0,1.2465882161624424,53.0
pyrimidine-containing compound metabolic process (GO:0072527),1.0745613109799963,76.0,0.9699020739265745,223.0
mitochondrial gene expression (GO:0140053),1.0658469406479576,77.0,1.0903217709403612,109.0
cerebral cortex neuron differentiation (GO:0021895),1.0642787731044951,78.0,1.2699808461292739,46.0
DNA ligation (GO:0006266),1.0596878783822954,79.0,1.158429700162834,77.0
chromosome condensation (GO:0030261),1.0579584242350732,80.0,1.1562568580600194,80.0
protein K29-linked ubiquitination (GO:0035519),1.05794918162521,81.0,1.1755849387561286,72.0
pyrimidine-containing compound biosynthetic process (GO:0072528),1.054899712046437,82.0,0.9588117830468909,241.0
regulation of mitotic sister chromatid separation (GO:0010965),1.0513912695457108,83.0,1.0074495973629445,180.0
negative regulation of microtubule depolymerization (GO:0007026),1.0496998575309535,84.0,1.0344975701824057,152.0
termination of RNA polymerase II transcription (GO:0006369),1.0458423776059114,85.0,1.0447058640238582,146.0
negative regulation of DNA-dependent DNA replication (GO:2000104),1.0434328569785676,86.0,1.09049334026376,108.0
telomeric loop disassembly (GO:0090657),1.0356854860537998,87.0,1.0233335071477452,164.0
G-quadruplex DNA unwinding (GO:0044806),1.0352936662696666,88.0,1.145941201122386,84.0
serine transport (GO:0032329),1.0338012557017835,89.0,1.1397416511622376,86.0
regulation of DNA-directed DNA polymerase activity (GO:1900262),1.0299070488843505,90.5,1.1198767730692296,91.5
positive regulation of DNA-directed DNA polymerase activity (GO:1900264),1.0299070488843505,90.5,1.1198767730692296,91.5
enzyme-directed rRNA pseudouridine synthesis (GO:0000455),1.0289358524351773,92.5,1.3559119990915458,30.5
rRNA pseudouridine synthesis (GO:0031118),1.0289358524351773,92.5,1.3559119990915458,30.5
carnitine transport (GO:0015879),1.027291484335628,94.0,0.7442244195412814,788.0
V(D)J recombination (GO:0033151),1.0257795141766035,95.0,1.1220876758697793,90.0
positive regulation of neuron migration (GO:2001224),1.0254123805022293,96.0,1.0111656252225079,177.0
mitotic chromosome condensation (GO:0007076),1.0240804059276662,97.0,1.0438883659613745,147.0
mitotic DNA integrity checkpoint signaling (GO:0044774),1.0240500569809068,98.0,1.045894223982912,145.0
protein import into mitochondrial matrix (GO:0030150),1.0194290626143823,99.0,1.0333791821919949,155.0
regulation of DNA-dependent DNA replication (GO:0090329),1.0172510868433544,100.0,0.9980830020316648,190.0
5-phosphoribose 1-diphosphate metabolic process (GO:0046391),1.0126645349247563,101.5,0.9064587468359435,329.5
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015),1.0126645349247563,101.5,0.9064587468359435,329.5
spliceosomal snRNP assembly (GO:0000387),1.0113879548261206,103.0,0.9644694713402758,234.0
microtubule cytoskeleton organization involved in mitosis (GO:1902850),1.007787968295682,104.0,1.0833232071619185,111.0
histone exchange (GO:0043486),1.0068184863972403,105.0,0.9703980776259856,222.0
negative regulation of telomere maintenance via telomere lengthening (GO:1904357),1.004408237392663,106.0,0.8263846394264626,490.0
microtubule depolymerization (GO:0007019),1.0033070757172984,107.0,1.0617572044071661,131.0
histone phosphorylation (GO:0016572),0.9952931420868748,108.0,1.0929407484270333,106.0
regulation of vesicle fusion (GO:0031338),0.991815162469615,109.0,0.9676343947817734,225.0
nephron tubule development (GO:0072080),0.9897086807778945,110.0,0.989721827538885,199.0
negative regulation of chromosome organization (GO:2001251),0.9889911542403075,111.0,0.7370350263100559,814.0
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166),0.9884372777826199,112.0,1.1406340597946236,85.0
attachment of mitotic spindle microtubules to kinetochore (GO:0051315),0.9863212212070147,113.0,1.076308173960199,119.0
pyrimidine nucleoside biosynthetic process (GO:0046134),0.9836175368915501,114.0,0.926750437064901,277.0
stress-activated protein kinase signaling cascade (GO:0031098),0.9787662180998862,115.0,0.9889867755182277,200.0
mitotic spindle organization (GO:0007052),0.9748203493966169,116.0,1.0602310138198257,135.0
regulation of protein kinase A signaling (GO:0010738),0.9745285874813377,117.0,0.8900175405162191,355.0
mitochondrial translational termination (GO:0070126),0.9690577598294744,118.0,1.04713215116781,144.0
positive regulation of viral transcription (GO:0050434),0.9665767245806741,119.0,1.1223432056731508,89.0
DNA alkylation (GO:0006305),0.9644306964280921,120.5,1.055121787239844,138.5
DNA methylation or demethylation (GO:0044728),0.9644306964280921,120.5,1.055121787239844,138.5
histone-serine phosphorylation (GO:0035404),0.9617523071935135,122.0,0.8873274351081527,359.0
lysosomal microautophagy (GO:0016237),0.9611992934848158,123.5,1.1842059034886052,69.5
piecemeal microautophagy of the nucleus (GO:0034727),0.9611992934848158,123.5,1.1842059034886052,69.5
regulation of protein K63-linked ubiquitination (GO:1900044),0.9537856737458172,125.0,0.9675114743095581,226.0
RNA stabilization (GO:0043489),0.9504399792947368,126.0,1.0853219121827804,110.0
leucine catabolic process (GO:0006552),0.9497868129367311,127.5,0.9066916139544535,327.5
leucine metabolic process (GO:0006551),0.9497868129367311,127.5,0.9066916139544535,327.5
establishment of protein localization to mitochondrion (GO:0072655),0.9481661248828899,129.0,0.9899785595651392,197.0
nucleotide biosynthetic process (GO:0009165),0.9480197296253804,130.0,1.0128166696092746,175.0
mitochondrial translational elongation (GO:0070125),0.9471409655061498,131.0,1.042402659865321,149.0
translational termination (GO:0006415),0.9446656568533396,132.0,1.0394054549806149,151.0
endoplasmic reticulum tubular network organization (GO:0071786),0.9420292511872355,133.0,0.9139625721442286,309.0
anterograde axonal protein transport (GO:0099641),0.9416137661636388,135.0,1.0786984616695459,116.0
protein localization to presynapse (GO:1905383),0.9416137661636388,135.0,1.0786984616695459,116.0
axo-dendritic protein transport (GO:0099640),0.9416137661636388,135.0,1.0786984616695459,116.0
nuclear pore complex assembly (GO:0051292),0.9393609969454497,137.0,1.0334230651996261,154.0
regulation of DNA recombination at telomere (GO:0072695),0.9390602929940024,138.5,1.001078024330229,187.5
negative regulation of DNA recombination at telomere (GO:0048239),0.9390602929940024,138.5,1.001078024330229,187.5
reticulophagy (GO:0061709),0.9370635265005829,140.0,0.9718274225986173,219.0
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",0.9366347136799437,141.0,1.0922471819751551,107.0
translational elongation (GO:0006414),0.9343460111321897,142.0,1.0185432920855724,168.0
protein insertion into mitochondrial inner membrane (GO:0045039),0.934077176939801,143.0,0.996487387430779,194.0
membrane biogenesis (GO:0044091),0.9324736149366438,144.0,1.0635033078527696,130.0
mitotic DNA replication checkpoint signaling (GO:0033314),0.9323777055905389,145.0,0.9143804743603992,307.0
GDP-mannose metabolic process (GO:0019673),0.9318659895949559,146.0,0.9318008380340956,267.0
neuron remodeling (GO:0016322),0.9312828806705788,147.0,0.9238549114376782,281.0
retrograde axonal transport (GO:0008090),0.9293720148173094,148.0,0.923751247884353,282.0
negative regulation of chemokine-mediated signaling pathway (GO:0070100),0.9281694420332446,149.0,0.8911500376916833,354.0
meiotic sister chromatid cohesion (GO:0051177),0.9280564057945586,150.0,1.033825287306576,153.0
purine ribonucleoside monophosphate biosynthetic process (GO:0009168),0.9270558473553444,151.0,1.0939065980462441,104.0
organic cation transport (GO:0015695),0.9251212181514786,152.0,0.7802325445887358,647.0
protein K6-linked ubiquitination (GO:0085020),0.9250481044533416,153.0,1.031979418067044,157.0
positive regulation of vesicle fusion (GO:0031340),0.9244823898249107,154.0,1.0641075064414713,126.0
response to X-ray (GO:0010165),0.9212449947551946,155.0,1.0603681395584563,134.0
purine ribonucleoside monophosphate metabolic process (GO:0009167),0.9211257409884466,156.0,1.0791485244723515,114.0
mitochondrial RNA processing (GO:0000963),0.9210842512216924,157.0,0.8194389813515008,521.0
mitotic G2 DNA damage checkpoint signaling (GO:0007095),0.9189929781873558,158.0,1.020842479551133,166.0
regulation of cytochrome-c oxidase activity (GO:1904959),0.9189158616136547,159.0,1.0823002490341767,112.0
mitochondrial translation (GO:0032543),0.9187794600760956,160.0,1.0033314570852536,182.0
