set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
RNA transport,1.7670674535230828e-06,58/66,EIF4E2;RPP38;RPP25;FXR2;NUP214;POP5;DDX20;NXT1;DDX19B;EIF3H;RPP40;NUP133;POP7;EIF2B2;NUP85;NUP205;PNN;THOC2;NUP98;TGS1;EEF1A2;ELAC1;NUP107;NUP37;UPF1;NUP62;NUP54;XPO5;TACC3;EIF5B;RAE1;GEMIN5;NUP210L;NUP35;GEMIN6;EIF2B5;MAGOH;THOC3;EIF4EBP1;EIF3J;SENP2;EIF2B1;EIF4A3;AAAS;DDX19A;NXF5;PABPC3;EIF4G1;PABPC5;THOC7;ACIN1;THOC6;EIF1B;THOC1;CLNS1A;NXT2;NXF3;FUS,9.673741191660627e-05,57/66,EIF4E2;RPP25;FXR2;NUP214;POP5;DDX20;NXT1;DDX19B;EIF3H;RPP40;NUP133;POP7;EIF2B2;NUP85;NUP205;RANGAP1;PNN;THOC2;NUP98;TGS1;EEF1A2;NUP107;NUP37;UPF1;NUP62;NUP54;EIF4EBP3;XPO5;TACC3;EIF5B;RAE1;GEMIN5;NUP210L;NUP35;GEMIN6;EIF2B5;MAGOH;THOC3;EIF4EBP1;EIF3J;SENP2;EIF2B1;EIF4A3;AAAS;DDX19A;NXF5;RPP21;PABPC3;EIF4G1;THOC7;ACIN1;THOC6;THOC1;CLNS1A;NXT2;NXF3;FUS,66
Spliceosome,0.0003314810211038825,43/51,SF3B1;LSM2;LSM7;PRPF40A;USP39;EFTUD2;DHX38;PQBP1;SART1;PPIH;SMNDC1;SF3B2;DHX15;HSPA6;THOC2;PRPF3;AQR;CTNNBL1;SNRPD3;SNW1;SF3B4;HSPA1L;SNRPE;BUD31;PRPF4;DHX8;SNRPG;ISY1;DDX23;PHF5A;PRPF6;PRPF18;LSM6;MAGOH;THOC3;EIF4A3;CDC5L;DHX16;SF3B5;ACIN1;THOC1;SNRPB2;FUS,4.1479510310735936e-05,46/51,SF3B1;LSM2;LSM7;PRPF40A;USP39;TRA2A;EFTUD2;WBP11;DHX38;PQBP1;SART1;PPIH;SMNDC1;SF3B2;DHX15;HSPA6;THOC2;PRPF3;AQR;CTNNBL1;SNRPD3;SNW1;SF3B4;HSPA1L;SF3A2;BCAS2;SNRPE;BUD31;PRPF4;DHX8;SNRPG;ISY1;DDX23;PHF5A;PRPF6;PRPF18;LSM6;MAGOH;THOC3;EIF4A3;DHX16;SF3B5;ACIN1;THOC1;SNRPB2;FUS,51
Amyotrophic lateral sclerosis,0.0007561124384248033,113/153,GABARAP;TUBA8;DAXX;COX6B1;DNAL4;TUBB8;PSMB4;COX8A;COX7C;NUP98;NDUFA8;DNALI1;SDHB;WDR41;KIF5A;NDUFA4L2;MAP2K6;DCTN5;NDUFA7;NDUFB3;UBQLN4;PSMB3;NRG2;C9ORF72;COX7A1;FIG4;NUP214;DCTN2;NDUFA11;NUP85;PIK3R4;GPX6;COX7B2;ANXA7;PSMA2;COX7A2;DNAH2;PSMD4;MAP3K5;DNAH9;ATF6;NDUFS6;NDUFB8;PSMD8;TUBA3C;PSMD7;NDUFB1;COX7B;TUBA1A;PSMD11;NXF3;PSMD14;PRPH;NXT1;KIF5B;NDUFB5;NUP205;UQCRC1;MAPK11;TNFRSF1B;TUBAL3;NUP54;PSMA4;PIK3C3;NRG4;TANK;NDUFS8;RAE1;NUP35;PSMD6;GPX3;COX6C;TNFRSF1A;DDIT3;PSMD2;FUS;ACTR1B;RB1CC1;NDUFS3;UBQLN2;NUP133;NDUFA13;NDUFC1;BAD;UQCRC2;NDUFAB1;GPX5;PSMC5;NUP107;TRAF2;NUP37;UQCRQ;NUP62;ITPR3;NDUFB11;GRIA1;COX5B;ATXN2;NDUFA3;NUP210L;SQSTM1;TUBB2A;ULK2;NDUFB10;PPP3CC;NXF5;CYC1;GPX2;DNAL1;PFN3;PSMA5;PSMC3;NXT2,0.00024375581772020206,120/153,GABARAP;TUBA8;COX6A1;DNAI1;COX4I2;COX6B1;DAXX;DNAL4;TUBB8;PSMB4;TUBA1B;MATR3;COX8A;COX7C;PSMB6;NUP98;NDUFA8;DNALI1;SDHB;KIF5A;NDUFA4L2;MAP2K6;DCTN5;NDUFA7;NDUFA12;NDUFB3;UBQLN4;PSMB3;C9ORF72;COX7A1;FIG4;NDUFB2;KLC3;NUP214;DCTN2;PSMA8;NDUFA11;NUP85;PIK3R4;GPX6;PSMA2;ANXA7;COX7A2;DNAH2;GPX1;PSMD4;MAP3K5;NDUFV2;ATF6;NDUFS6;NDUFB8;PSMD8;TUBA3C;PSMD7;NDUFB1;COX7B;TUBA1A;PSMD11;NXF3;PSMD14;PRPH;NXT1;NDUFB5;NUP205;UQCRC1;MAPK11;TNFRSF1B;NUP54;PSMA4;COX6A2;TANK;NDUFS8;RAE1;NUP35;PSMD6;NDUFB4;GPX3;COX6C;TNFRSF1A;PSMD2;FUS;ACTR1B;RB1CC1;NDUFS3;UBQLN2;NUP133;NDUFA13;NDUFC1;BAD;UQCRC2;NDUFAB1;PSMC5;NUP107;TRAF2;NRBF2;NUP37;UQCRQ;NUP62;ITPR3;SMCR8;WIPI1;NDUFB11;GRIA1;COX5B;NDUFA3;NDUFS5;NUP210L;SQSTM1;TUBB2A;ULK2;NDUFB10;PPP3CC;NXF5;CYC1;GPX2;DNAL1;PFN3;PSMA5;PSMC3;NXT2,153
Ribosome,0.002610103812734368,39/48,MRPS14;MRPL27;MRPL11;RPL36;RPL36AL;RPS3;MRPS16;MRPL17;MRPL9;MRPL13;MRPL1;RPS20;MRPL36;MRPL12;MRPL28;MRPL22;RPS21;MRPS7;UBA52;RPL10L;RPS9;RPL7;RPL22L1;RPS23;RPS12;MRPL14;RPL35A;MRPL15;RPS16;MRPL4;MRPS18C;MRPS2;MRPS9;RPS18;MRPS17;MRPL23;RPL8;RPS27L;MRPL16,0.00045232296728142316,42/48,MRPS14;MRPL27;MRPL11;RPL36;RPL36AL;RPS3;MRPS16;MRPL17;MRPL9;MRPL13;MRPL1;RPS20;MRPL36;MRPL12;MRPL28;MRPL22;RPS21;MRPS7;UBA52;RPL11;RPL3L;RPL26;RPS9;RPL7;RPL22L1;RPS23;MRPL32;RPS12;MRPL14;RPL35A;MRPL15;RPS16;MRPL4;MRPS18C;MRPS2;MRPS9;RPS18;MRPS17;MRPL23;RPL8;RPS27L;MRPL16,48
Aminoacyl-tRNA biosynthesis,0.004514438495246235,15/16,IARS2;LARS2;WARS2;FARSA;AARS2;SARS2;NARS2;YARS2;FARS2;TARS2;MTFMT;PSTK;RARS2;DARS2;MARS2,0.4978175339239661,11/16,IARS2;LARS2;FARSA;SARS2;NARS2;YARS2;FARS2;PSTK;RARS2;DARS2;MARS2,16
mRNA surveillance pathway,0.00474558919175261,32/39,SSU72;NXT1;SYMPK;DDX19B;PNN;MSI2;ETF1;MSI1;CSTF2;GSPT2;PPP2R5B;UPF1;CPSF1;CPSF3;PPP2R5E;PPP2R2B;CSTF1;MAGOH;PAPOLB;EIF4A3;DDX19A;NXF5;PPP2R2A;PABPC3;PABPC5;ACIN1;DAZAP1;PPP2R3B;SMG5;NXT2;NXF3;FUS,0.04014991683518432,31/39,NXT1;SYMPK;DDX19B;PAPOLG;PNN;MSI2;ETF1;MSI1;CSTF2;GSPT2;PPP2R5B;UPF1;CPSF3;PPP2R5E;PPP2R2B;CSTF1;MAGOH;PAPOLB;EIF4A3;PELO;DDX19A;NXF5;PPP2R2A;PABPC3;ACIN1;DAZAP1;PPP2R3B;SMG5;NXT2;NXF3;FUS,39
DNA replication,0.0069370990379530205,14/15,POLE2;POLA1;RPA1;POLA2;PRIM1;RNASEH1;RFC2;SSBP1;LIG1;RFC5;RNASEH2B;RNASEH2A;RPA4;RPA3,0.06383050713856853,13/15,POLE2;POLA1;RPA1;POLA2;PRIM1;RNASEH1;RFC2;SSBP1;LIG1;RFC5;RNASEH2B;RNASEH2A;RPA3,15
Huntington disease,0.00993542356512255,91/127,TUBA8;COX6B1;DNAL4;TUBB8;PSMB4;COX8A;COX7C;NDUFA8;DNALI1;SDHB;KIF5A;NDUFA4L2;DCTN5;NDUFA7;HDAC1;POLR2J;NDUFB3;PSMB3;COX7A1;POLR2E;POLR2C;DCTN2;NDUFA11;PIK3R4;GPX6;PPIF;PSMA2;COX7B2;COX7A2;DNAH2;PSMD4;MAP3K5;DNAH9;NDUFS6;NDUFB8;PSMD8;TUBA3C;PSMD7;NDUFB1;COX7B;TUBA1A;PSMD11;PSMD14;TAF4;POLR2G;CLTCL1;KIF5B;NDUFB5;CREB3;UQCRC1;POLR2H;CREB3L4;TUBAL3;PSMA4;PIK3C3;NDUFS8;PSMD6;POLR2B;CLTA;SLC25A31;GPX3;COX6C;PSMD2;ACTR1B;RB1CC1;POLR2I;POLR2F;AP2S1;NDUFS3;NDUFA13;NDUFC1;UQCRC2;NDUFAB1;SIN3A;GPX5;PSMC5;TRAF2;UQCRQ;NDUFB11;GRIA1;COX5B;NDUFA3;TUBB2A;ULK2;NDUFB10;CYC1;GPX2;CREB3L1;DNAL1;PSMA5;PSMC3,9.448415170427637e-06,105/127,SLC25A4;TUBA8;COX6A1;DNAI1;COX4I2;COX6B1;DNAL4;TUBB8;PSMB4;TUBA1B;COX8A;COX7C;PSMB6;NDUFA8;DNALI1;SDHB;KIF5A;NDUFA4L2;AP2A1;DCTN5;NDUFA7;GNAQ;NDUFA12;HDAC1;POLR2J;NDUFB3;PSMB3;COX7A1;NDUFB2;KLC3;POLR2E;POLR2C;DCTN2;PSMA8;NDUFA11;PIK3R4;GPX6;PPIF;PSMA2;COX7A2;GPX1;DNAH2;PSMD4;MAP3K5;CACNA1B;NDUFV2;NDUFS6;NDUFB8;PSMD8;TUBA3C;PSMD7;NDUFB1;COX7B;TUBA1A;PSMD11;PSMD14;TAF4;POLR2G;CLTCL1;NDUFB5;UQCRC1;POLR2H;CREB3L4;SOD2;PSMA4;COX6A2;NDUFS8;PSMD6;NDUFB4;POLR2B;CLTA;GPX3;COX6C;PSMD2;ACTR1B;RB1CC1;POLR2I;POLR2F;AP2S1;NDUFS3;NDUFA13;NDUFC1;UQCRC2;NDUFAB1;SIN3A;PSMC5;NRBF2;TRAF2;UQCRQ;WIPI1;NDUFB11;GRIA1;COX5B;NDUFA3;NDUFS5;TUBB2A;ULK2;HDAC2;NDUFB10;CYC1;GPX2;DNAL1;PSMA5;PSMC3;PLCB3,127
Parkinson disease,0.009999357547324955,77/106,TUBA8;COX6B1;DAXX;TUBB8;SNCA;PSMB4;CALML6;COX8A;UBA7;COX7C;NDUFA8;SDHB;KIF5A;NDUFA4L2;NDUFA7;NDUFB3;PSMB3;SLC6A3;COX7A1;SNCAIP;NDUFA11;CAMK2D;SLC18A1;PPIF;PSMA2;COX7B2;COX7A2;SLC18A2;PSMD4;MAP3K5;ATF6;NDUFS6;NDUFB8;PSMD8;TUBA3C;PSMD7;TXN2;COX7B;CALML4;NDUFB1;TUBA1A;PSMD11;PSMD14;KIF5B;NDUFB5;UQCRC1;UBA52;TUBAL3;PSMA4;NFE2L2;NDUFS8;RYR3;PSMD6;SLC25A31;COX6C;DDIT3;PSMD2;NDUFS3;GNAI3;NDUFA13;NDUFC1;GNAI1;TRAP1;UQCRC2;NDUFAB1;PSMC5;UQCRQ;ITPR3;HTRA2;NDUFB11;COX5B;NDUFA3;TUBB2A;NDUFB10;CYC1;PSMA5;PSMC3,3.638544915100735e-05,88/106,SLC25A4;TUBA8;COX6A1;COX4I2;DAXX;COX6B1;TUBB8;SNCA;PSMB4;TUBA1B;CALML6;COX8A;UBA7;COX7C;PSMB6;NDUFA8;SDHB;KIF5A;NDUFA4L2;NDUFA7;NDUFA12;NDUFB3;PSMB3;SLC6A3;COX7A1;SNCAIP;NDUFB2;UBE2J1;KLC3;PSMA8;NDUFA11;CAMK2D;SLC18A1;PPIF;PSMA2;COX7A2;SLC18A2;PSMD4;MAP3K5;NDUFV2;ATF6;NDUFS6;ITPR2;NDUFB8;PSMD8;TUBA3C;PSMD7;TXN2;COX7B;NDUFB1;TUBA1A;PSMD11;PSMD14;NDUFB5;UQCRC1;UBA52;PSMA4;COX6A2;NFE2L2;NDUFS8;RYR3;PSMD6;NDUFB4;COX6C;PSMD2;DRD1;MAOA;NDUFS3;GNAI3;NDUFA13;NDUFC1;GNAI1;TRAP1;UQCRC2;NDUFAB1;PSMC5;UQCRQ;ITPR3;HTRA2;NDUFB11;COX5B;NDUFA3;NDUFS5;TUBB2A;NDUFB10;CYC1;PSMA5;PSMC3,106
RNA polymerase,0.011204218572851997,16/18,POLR2G;POLR1C;POLR3H;POLR3K;POLR2J;POLR2B;POLR2I;POLR2F;POLR1E;POLR2E;POLR3GL;POLR3D;POLR3E;POLR2C;POLR3G;POLR2H,0.024628809169214696,16/18,POLR2G;POLR1C;POLR2J;POLR3K;POLR2B;POLR2I;POLR2F;POLR1E;POLR2E;POLR3GL;POLR3D;POLR3E;POLR2C;POLR3G;POLR2H;POLR3C,18
