set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
DNA replication,1.1910871732802464,1.0,1.1906472341851564,1.0
RNA polymerase,0.9618026934687737,2.0,0.9699415606981923,7.0
One carbon pool by folate,0.9603150140816908,3.0,0.9742831902152653,5.0
Ribosome,0.9572435350748982,4.0,1.0635041907705067,3.0
Homologous recombination,0.9521436772260737,5.0,1.0769067750080223,2.0
Base excision repair,0.9396656148143502,6.0,0.999627046134579,4.0
Steroid biosynthesis,0.8665463782679181,7.0,0.970721916145321,6.0
Fanconi anemia pathway,0.8471726321488491,8.0,0.8640085085141249,8.0
Ribosome biogenesis in eukaryotes,0.8037054447454187,9.0,0.8352599833311989,10.0
Ubiquinone and other terpenoid-quinone biosynthesis,0.8016541279497457,10.0,0.6752457200172773,44.0
Cell cycle,0.7918309298726284,11.0,0.8621237948658812,9.0
RNA transport,0.7811539852591597,12.0,0.8029873590372109,14.0
Mismatch repair,0.7619389136829223,13.0,0.7300358781322708,22.0
Spliceosome,0.7463041279211472,14.0,0.8152564383326418,12.0
Pyrimidine metabolism,0.7391290229939371,15.0,0.6992759787667769,32.0
Bladder cancer,0.7346100101393063,16.0,0.7751555866685641,17.0
Nucleotide excision repair,0.7330892788951653,17.0,0.6906524623909204,37.0
mRNA surveillance pathway,0.7216961741051924,18.0,0.719604488660481,26.0
Aminoacyl-tRNA biosynthesis,0.7152321648758673,19.0,0.7346799218318631,21.0
Synthesis and degradation of ketone bodies,0.7067713123104156,20.0,0.5737401754295157,100.0
Oocyte meiosis,0.7019967636344813,21.0,0.7633120365470932,19.0
Progesterone-mediated oocyte maturation,0.6743387082510656,22.0,0.7224422441345076,24.0
Vasopressin-regulated water reabsorption,0.6642795934241594,23.0,0.6488680051047513,59.0
RNA degradation,0.6543521041676289,24.0,0.6539761668292505,55.0
Pentose phosphate pathway,0.6476552721387884,25.0,0.6969766988026243,34.0
Oxidative phosphorylation,0.6301902377138312,26.0,0.8248771578520713,11.0
Fructose and mannose metabolism,0.6292246158537036,27.0,0.7237990578154478,23.0
Parkinson disease,0.6260801778217696,28.0,0.7688998751914091,18.0
Cellular senescence,0.6254552916903238,29.0,0.6867073853808013,39.0
Non-small cell lung cancer,0.6246884250335631,30.0,0.6796528054599865,42.0
Amyotrophic lateral sclerosis,0.6235688070191819,31.0,0.712014011077591,28.0
Butanoate metabolism,0.6183605280359243,32.0,0.6074881139847047,76.0
Epithelial cell signaling in Helicobacter pylori infection,0.6101403035478276,33.0,0.6949640652126218,35.0
Small cell lung cancer,0.6066653324523046,34.0,0.655930797310788,52.0
Protein export,0.6056272021674661,35.0,0.7185368572215924,27.0
Thyroid cancer,0.6039005625526375,36.0,0.7994711432581306,15.0
Huntington disease,0.6006668694971026,37.0,0.7217943256193783,25.0
Human T-cell leukemia virus 1 infection,0.598992098300746,38.0,0.6645309580784394,49.0
Mitophagy,0.5959690164344617,39.0,0.6572778912651531,50.0
Amino sugar and nucleotide sugar metabolism,0.5958080127488555,40.0,0.7043603278980122,31.0
p53 signaling pathway,0.5949243686900975,41.0,0.6347716277939598,62.0
Pancreatic cancer,0.5863738550728647,42.0,0.691559562594802,36.0
Non-homologous end-joining,0.5857754039273246,43.0,0.8114141466288618,13.0
Apoptosis,0.584354277772946,44.0,0.6465208685530014,60.0
Glutathione metabolism,0.5839004490402477,45.0,0.6663684888422631,47.0
Diabetic cardiomyopathy,0.5823303958179423,46.0,0.75178042995941,20.0
Basal transcription factors,0.5790741872079448,47.0,0.6548995619560608,54.0
Collecting duct acid secretion,0.5708148902783834,48.0,0.6533422700469822,57.0
Lysine degradation,0.5692738374364004,49.0,0.5421853753319963,138.0
Glioma,0.5644680620194859,50.0,0.6152455148854512,74.0
Endocytosis,0.5598607593629908,51.0,0.6197352925905824,73.0
Non-alcoholic fatty liver disease,0.5590657329673409,52.0,0.7079524577533655,29.0
Chronic myeloid leukemia,0.5556157793655189,53.0,0.6428433736538917,61.0
"Valine, leucine and isoleucine degradation",0.5541083688110393,54.0,0.4752592853951347,216.0
