================ Training Loss (Mon Mar  9 11:11:31 2026) ================
(epoch: 1, iters: 0, time: 1.390, data: 0.005) G_A: 9.790 G_B: 15.469 D_A: 3.772 D_B: 4.748 cycle_A: 32.668 cycle_B: 30.938 feedback_A: 0.000 feedback_B: 0.000 idt_A: 7.941 idt_B: 8.542 
(epoch: 1, iters: 10, time: 0.007, data: 0.001) G_A: 0.148 G_B: 109.131 D_A: 7.652 D_B: 44.619 cycle_A: 9.826 cycle_B: 8.884 feedback_A: 0.000 feedback_B: 0.000 idt_A: 5.503 idt_B: 5.806 
(epoch: 1, iters: 20, time: 0.008, data: 0.001) G_A: 7.403 G_B: 134.170 D_A: 7.394 D_B: 66.643 cycle_A: 6.530 cycle_B: 5.663 feedback_A: 0.000 feedback_B: 0.000 idt_A: 4.777 idt_B: 4.998 
(epoch: 1, iters: 30, time: 0.007, data: 0.001) G_A: 19.125 G_B: 57.400 D_A: 16.188 D_B: 22.813 cycle_A: 6.675 cycle_B: 5.315 feedback_A: 0.000 feedback_B: 0.000 idt_A: 4.282 idt_B: 4.503 
(epoch: 1, iters: 40, time: 0.007, data: 0.001) G_A: 15.012 G_B: 152.398 D_A: 11.881 D_B: 93.255 cycle_A: 5.488 cycle_B: 6.012 feedback_A: 0.000 feedback_B: 0.000 idt_A: 3.801 idt_B: 3.815 
(epoch: 2, iters: 0, time: 0.008, data: 0.001) G_A: 34.542 G_B: 161.152 D_A: 25.404 D_B: 101.437 cycle_A: 6.101 cycle_B: 7.982 feedback_A: 0.000 feedback_B: 0.000 idt_A: 3.275 idt_B: 3.532 
(epoch: 2, iters: 10, time: 0.007, data: 0.001) G_A: 16.516 G_B: 2.284 D_A: 14.176 D_B: 25.042 cycle_A: 4.656 cycle_B: 3.164 feedback_A: 0.000 feedback_B: 0.000 idt_A: 2.757 idt_B: 2.541 
(epoch: 2, iters: 20, time: 0.007, data: 0.001) G_A: 13.536 G_B: 0.021 D_A: 14.448 D_B: 3.843 cycle_A: 4.818 cycle_B: 3.915 feedback_A: 0.000 feedback_B: 0.000 idt_A: 2.268 idt_B: 2.286 
(epoch: 2, iters: 30, time: 0.008, data: 0.001) G_A: 0.100 G_B: 1.819 D_A: 60.292 D_B: 24.911 cycle_A: 4.705 cycle_B: 3.777 feedback_A: 0.000 feedback_B: 0.000 idt_A: 2.061 idt_B: 2.252 
(epoch: 2, iters: 40, time: 0.008, data: 0.001) G_A: 15.402 G_B: 1.511 D_A: 25.263 D_B: 12.772 cycle_A: 5.353 cycle_B: 4.020 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.835 idt_B: 2.583 
(epoch: 3, iters: 0, time: 0.008, data: 0.001) G_A: 2.898 G_B: 28.107 D_A: 28.403 D_B: 28.158 cycle_A: 4.542 cycle_B: 3.843 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.601 idt_B: 1.996 
(epoch: 3, iters: 10, time: 0.007, data: 0.001) G_A: 30.905 G_B: 8.058 D_A: 22.781 D_B: 97.028 cycle_A: 4.966 cycle_B: 2.859 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.584 idt_B: 2.296 
(epoch: 3, iters: 20, time: 0.007, data: 0.001) G_A: 2.172 G_B: 28.867 D_A: 15.923 D_B: 35.489 cycle_A: 3.614 cycle_B: 4.081 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.764 idt_B: 1.474 
(epoch: 3, iters: 30, time: 0.008, data: 0.001) G_A: 2.370 G_B: 0.765 D_A: 12.257 D_B: 1.383 cycle_A: 4.840 cycle_B: 2.773 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.295 idt_B: 2.243 
(epoch: 3, iters: 40, time: 0.007, data: 0.001) G_A: 10.703 G_B: 0.011 D_A: 73.980 D_B: 0.697 cycle_A: 4.186 cycle_B: 3.337 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.757 idt_B: 1.775 
(epoch: 4, iters: 0, time: 0.008, data: 0.001) G_A: 5.594 G_B: 0.071 D_A: 7.611 D_B: 0.812 cycle_A: 3.549 cycle_B: 3.472 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.385 idt_B: 1.550 
(epoch: 4, iters: 10, time: 0.008, data: 0.001) G_A: 6.661 G_B: 17.938 D_A: 30.005 D_B: 14.517 cycle_A: 3.254 cycle_B: 4.160 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.169 idt_B: 1.594 
(epoch: 4, iters: 20, time: 0.007, data: 0.001) G_A: 9.149 G_B: 26.750 D_A: 7.339 D_B: 23.049 cycle_A: 3.893 cycle_B: 3.465 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.561 idt_B: 1.536 
(epoch: 4, iters: 30, time: 0.008, data: 0.001) G_A: 0.245 G_B: 0.270 D_A: 9.418 D_B: 11.474 cycle_A: 3.096 cycle_B: 2.676 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.233 idt_B: 1.395 
(epoch: 4, iters: 40, time: 0.007, data: 0.001) G_A: 0.222 G_B: 6.284 D_A: 0.811 D_B: 2.656 cycle_A: 4.356 cycle_B: 3.004 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.544 idt_B: 1.228 
(epoch: 5, iters: 0, time: 0.008, data: 0.001) G_A: 1.078 G_B: 0.544 D_A: 1.157 D_B: 0.511 cycle_A: 2.833 cycle_B: 3.167 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.209 idt_B: 1.557 
