================ Training Loss (Sat Mar  7 12:33:49 2026) ================
(epoch: 1, iters: 0, time: 0.401, data: 0.006) G_A: 9.790 G_B: 15.469 D_A: 3.772 D_B: 4.748 cycle_A: 3.267 cycle_B: 3.094 feedback_A: 16.708 feedback_B: 17.116 idt_A: 0.794 idt_B: 0.854 
(epoch: 1, iters: 10, time: 0.009, data: 0.001) G_A: 43.229 G_B: 79.791 D_A: 33.762 D_B: 31.466 cycle_A: 1.018 cycle_B: 0.967 feedback_A: 13.147 feedback_B: 12.518 idt_A: 0.562 idt_B: 0.609 
(epoch: 1, iters: 20, time: 0.008, data: 0.001) G_A: 7.094 G_B: 159.095 D_A: 1.764 D_B: 76.778 cycle_A: 0.724 cycle_B: 0.651 feedback_A: 10.749 feedback_B: 10.895 idt_A: 0.501 idt_B: 0.541 
(epoch: 1, iters: 30, time: 0.008, data: 0.001) G_A: 29.293 G_B: 75.006 D_A: 22.284 D_B: 32.366 cycle_A: 0.643 cycle_B: 0.537 feedback_A: 10.207 feedback_B: 10.127 idt_A: 0.480 idt_B: 0.516 
(epoch: 1, iters: 40, time: 0.008, data: 0.001) G_A: 22.028 G_B: 39.468 D_A: 16.597 D_B: 33.300 cycle_A: 0.588 cycle_B: 0.596 feedback_A: 10.071 feedback_B: 9.870 idt_A: 0.477 idt_B: 0.475 
(epoch: 2, iters: 0, time: 0.008, data: 0.002) G_A: 0.125 G_B: 397.863 D_A: 0.317 D_B: 186.499 cycle_A: 0.557 cycle_B: 0.622 feedback_A: 9.677 feedback_B: 9.664 idt_A: 0.443 idt_B: 0.465 
(epoch: 2, iters: 10, time: 0.008, data: 0.001) G_A: 30.078 G_B: 0.009 D_A: 21.184 D_B: 24.449 cycle_A: 0.616 cycle_B: 0.451 feedback_A: 8.942 feedback_B: 9.246 idt_A: 0.434 idt_B: 0.434 
(epoch: 2, iters: 20, time: 0.008, data: 0.001) G_A: 32.640 G_B: 1.884 D_A: 16.143 D_B: 7.200 cycle_A: 0.655 cycle_B: 0.341 feedback_A: 8.373 feedback_B: 9.258 idt_A: 0.432 idt_B: 0.410 
(epoch: 2, iters: 30, time: 0.008, data: 0.001) G_A: 7.236 G_B: 4.497 D_A: 75.647 D_B: 30.670 cycle_A: 0.503 cycle_B: 0.383 feedback_A: 8.616 feedback_B: 9.037 idt_A: 0.399 idt_B: 0.411 
(epoch: 2, iters: 40, time: 0.008, data: 0.001) G_A: 13.736 G_B: 14.064 D_A: 6.538 D_B: 12.830 cycle_A: 0.549 cycle_B: 0.401 feedback_A: 8.604 feedback_B: 8.969 idt_A: 0.375 idt_B: 0.407 
(epoch: 3, iters: 0, time: 0.008, data: 0.001) G_A: 5.742 G_B: 52.184 D_A: 12.700 D_B: 23.594 cycle_A: 0.643 cycle_B: 0.455 feedback_A: 8.695 feedback_B: 8.783 idt_A: 0.370 idt_B: 0.398 
