Pearson,Spearman,MAE,RMSE,L1,L2,Algorithm
0.957 (±0.018),0.961 (±0.017),0.205 (±0.038),0.281 (±0.052),2061.889 (±384.385),28.207 (±5.180),GANomics (MA)
0.639 (±0.041),0.646 (±0.035),0.617 (±0.033),0.829 (±0.042),6190.995 (±334.474),83.085 (±4.183),ComBat (MA)
0.727 (±0.031),0.734 (±0.029),0.700 (±0.012),0.883 (±0.011),7028.319 (±124.161),88.494 (±1.101),YuGene (MA)
-0.000 (±0.012),0.939 (±0.037),40771390.279 (±403416858.353),4077963616.195 (±40426520068.249),409426301178.994 (±4051112091581.735),408651836671.293 (±4051132680662.103),CuBlock (MA)
0.717 (±0.035),0.734 (±0.029),0.567 (±0.035),0.744 (±0.040),5692.302 (±348.782),74.591 (±3.977),TDM (MA)
0.721 (±0.031),0.734 (±0.029),0.550 (±0.028),0.720 (±0.036),5527.274 (±283.212),72.107 (±3.567),Quantile (MA)
0.957 (±0.017),0.953 (±0.019),0.189 (±0.035),0.266 (±0.048),1897.677 (±349.281),26.659 (±4.824),GANomics (RS)
0.758 (±0.027),0.766 (±0.022),0.480 (±0.025),0.642 (±0.031),4820.841 (±252.850),64.308 (±3.064),ComBat (RS)
0.719 (±0.032),0.734 (±0.029),0.600 (±0.013),0.845 (±0.012),6022.585 (±129.857),84.690 (±1.238),YuGene (RS)
-0.005 (±0.010),0.946 (±0.022),1437997238.157 (±10836100267.656),144080386910.531 (±1085806798049.766),14440368265572.754 (±108816118887804.891),14438263869120.838 (±108808460313635.031),CuBlock (RS)
0.717 (±0.035),0.734 (±0.029),0.516 (±0.030),0.677 (±0.035),5182.561 (±305.339),67.798 (±3.516),TDM (RS)
0.730 (±0.036),0.734 (±0.029),0.472 (±0.032),0.665 (±0.043),4743.755 (±323.529),66.635 (±4.353),Quantile (RS)
0.721 (±0.035),0.734 (±0.029),0.533 (±0.031),0.701 (±0.038),5355.130 (±316.322),70.220 (±3.783),Baseline (paired)
