================ Training Loss (Sun Sep 21 01:28:48 2025) ================
(epoch: 1, iters: 100, time: 0.236, data: 0.183) D_A: 1344.410 G_A: 1271.447 cycle_A: 28.692 idt_A: 13.279 D_B: 9937.142 G_B: 19593.275 cycle_B: 98.780 idt_B: 7.306 median_A: 81.526 median_B: 72.611 
(epoch: 2, iters: 100, time: 0.236, data: 0.202) D_A: 3311.032 G_A: 5960.897 cycle_A: 25.751 idt_A: 59.881 D_B: 141444.141 G_B: 5060.124 cycle_B: 42.112 idt_B: 6.584 median_A: 40.457 median_B: 72.529 
(epoch: 3, iters: 100, time: 0.236, data: 0.185) D_A: 81.904 G_A: 20.484 cycle_A: 20.235 idt_A: 13.984 D_B: 365.165 G_B: 579.527 cycle_B: 27.607 idt_B: 6.277 median_A: 28.598 median_B: 71.833 
(epoch: 4, iters: 100, time: 0.234, data: 0.203) D_A: 826015.125 G_A: 8164.062 cycle_A: 44.097 idt_A: 150.430 D_B: 35.062 G_B: 1.936 cycle_B: 37.284 idt_B: 5.972 median_A: 26.211 median_B: 76.569 
(epoch: 5, iters: 100, time: 0.235, data: 0.176) D_A: 803.574 G_A: 1365.098 cycle_A: 24.767 idt_A: 19.136 D_B: 5.298 G_B: 17.645 cycle_B: 21.017 idt_B: 5.778 median_A: 25.730 median_B: 72.080 
(epoch: 6, iters: 100, time: 0.236, data: 0.173) D_A: 2804.087 G_A: 950.505 cycle_A: 12.876 idt_A: 16.759 D_B: 66.928 G_B: 9.639 cycle_B: 19.935 idt_B: 5.772 median_A: 24.516 median_B: 71.538 
(epoch: 7, iters: 100, time: 0.236, data: 0.203) D_A: 8828.494 G_A: 15128.764 cycle_A: 24.501 idt_A: 30.732 D_B: 0.281 G_B: 0.311 cycle_B: 20.167 idt_B: 6.061 median_A: 23.107 median_B: 74.629 
(epoch: 8, iters: 100, time: 0.235, data: 0.207) D_A: 141.221 G_A: 112.911 cycle_A: 13.073 idt_A: 16.130 D_B: 0.445 G_B: 3.746 cycle_B: 18.420 idt_B: 5.619 median_A: 22.694 median_B: 71.598 
(epoch: 9, iters: 100, time: 0.235, data: 0.176) D_A: 1146.518 G_A: 1.882 cycle_A: 9.833 idt_A: 14.357 D_B: 1860.223 G_B: 3843.430 cycle_B: 73.377 idt_B: 5.253 median_A: 35.708 median_B: 70.624 
(epoch: 10, iters: 100, time: 0.236, data: 0.188) D_A: 4200.692 G_A: 78.076 cycle_A: 8.751 idt_A: 14.112 D_B: 19.075 G_B: 23.830 cycle_B: 17.272 idt_B: 5.169 median_A: 22.673 median_B: 70.961 
(epoch: 11, iters: 100, time: 0.235, data: 0.204) D_A: 608.728 G_A: 142.923 cycle_A: 10.144 idt_A: 14.860 D_B: 12.118 G_B: 35.079 cycle_B: 17.057 idt_B: 4.959 median_A: 21.951 median_B: 71.858 
