================ Training Loss (Thu Sep 25 01:40:40 2025) ================
(epoch: 2, iters: 50, time: 0.234, data: 0.171) D_A: 1521.471 G_A: 2409.461 cycle_A: 25.513 idt_A: 14.732 D_B: 1310.714 G_B: 23337.635 cycle_B: 85.301 idt_B: 6.986 median_A: 90.081 median_B: 73.468 
(epoch: 4, iters: 50, time: 0.233, data: 0.212) D_A: 4944.026 G_A: 58.294 cycle_A: 15.802 idt_A: 12.364 D_B: 5.181 G_B: 12.998 cycle_B: 46.723 idt_B: 6.242 median_A: 28.809 median_B: 72.253 
(epoch: 6, iters: 50, time: 0.235, data: 0.180) D_A: 670.452 G_A: 94.150 cycle_A: 11.879 idt_A: 11.706 D_B: 515.319 G_B: 1.534 cycle_B: 25.178 idt_B: 5.858 median_A: 20.188 median_B: 71.603 
(epoch: 8, iters: 50, time: 0.235, data: 0.198) D_A: 1707.010 G_A: 6.404 cycle_A: 9.969 idt_A: 11.403 D_B: 2.988 G_B: 1.832 cycle_B: 18.801 idt_B: 6.238 median_A: 17.830 median_B: 72.007 
(epoch: 10, iters: 50, time: 0.235, data: 0.234) D_A: 1605.488 G_A: 17.007 cycle_A: 8.671 idt_A: 11.397 D_B: 35.581 G_B: 31.972 cycle_B: 48.425 idt_B: 5.773 median_A: 24.358 median_B: 70.769 
(epoch: 12, iters: 50, time: 0.235, data: 0.256) D_A: 39.886 G_A: 0.125 cycle_A: 7.454 idt_A: 10.866 D_B: 5.287 G_B: 4.702 cycle_B: 15.945 idt_B: 5.421 median_A: 14.848 median_B: 71.144 
(epoch: 14, iters: 50, time: 0.234, data: 0.237) D_A: 3444.663 G_A: 0.006 cycle_A: 6.668 idt_A: 10.783 D_B: 16.141 G_B: 0.065 cycle_B: 13.882 idt_B: 4.853 median_A: 13.912 median_B: 70.865 
(epoch: 16, iters: 50, time: 0.235, data: 0.280) D_A: 3.632 G_A: 0.976 cycle_A: 5.963 idt_A: 10.531 D_B: 91.782 G_B: 157.458 cycle_B: 50.222 idt_B: 4.631 median_A: 22.352 median_B: 69.143 
(epoch: 18, iters: 50, time: 0.235, data: 0.235) D_A: 12.217 G_A: 3.444 cycle_A: 5.812 idt_A: 10.479 D_B: 0.946 G_B: 4.991 cycle_B: 12.963 idt_B: 4.601 median_A: 12.997 median_B: 69.186 
(epoch: 20, iters: 50, time: 0.235, data: 0.202) D_A: 13.552 G_A: 0.284 cycle_A: 5.350 idt_A: 10.192 D_B: 23.069 G_B: 0.564 cycle_B: 13.892 idt_B: 4.295 median_A: 12.981 median_B: 68.204 
(epoch: 22, iters: 50, time: 0.235, data: 0.258) D_A: 5.713 G_A: 4.703 cycle_A: 5.310 idt_A: 10.008 D_B: 3.646 G_B: 0.173 cycle_B: 13.085 idt_B: 4.212 median_A: 13.894 median_B: 68.706 
(epoch: 24, iters: 50, time: 0.235, data: 0.239) D_A: 1.917 G_A: 0.548 cycle_A: 5.415 idt_A: 9.922 D_B: 1.949 G_B: 682.515 cycle_B: 60.952 idt_B: 4.039 median_A: 26.138 median_B: 67.096 
(epoch: 26, iters: 50, time: 0.235, data: 0.250) D_A: 5.694 G_A: 0.196 cycle_A: 5.341 idt_A: 9.766 D_B: 0.595 G_B: 0.324 cycle_B: 12.310 idt_B: 3.875 median_A: 13.101 median_B: 65.438 
(epoch: 28, iters: 50, time: 0.233, data: 0.210) D_A: 12.196 G_A: 0.572 cycle_A: 5.318 idt_A: 9.666 D_B: 1.685 G_B: 0.436 cycle_B: 14.257 idt_B: 3.632 median_A: 14.824 median_B: 63.366 
(epoch: 30, iters: 50, time: 0.234, data: 0.205) D_A: 52.045 G_A: 0.610 cycle_A: 4.969 idt_A: 9.470 D_B: 0.312 G_B: 0.192 cycle_B: 10.321 idt_B: 3.462 median_A: 12.841 median_B: 63.782 
(epoch: 32, iters: 50, time: 0.234, data: 0.306) D_A: 150.743 G_A: 0.489 cycle_A: 5.047 idt_A: 9.417 D_B: 0.710 G_B: 0.000 cycle_B: 9.854 idt_B: 3.212 median_A: 12.304 median_B: 57.426 
(epoch: 34, iters: 50, time: 0.235, data: 0.230) D_A: 78.627 G_A: 7.777 cycle_A: 5.031 idt_A: 10.245 D_B: 202.560 G_B: 1.947 cycle_B: 9.563 idt_B: 3.153 median_A: 12.564 median_B: 54.829 
(epoch: 36, iters: 50, time: 0.235, data: 0.204) D_A: 32.412 G_A: 0.175 cycle_A: 5.401 idt_A: 10.291 D_B: 0.615 G_B: 0.008 cycle_B: 9.516 idt_B: 2.954 median_A: 12.412 median_B: 50.662 
(epoch: 38, iters: 50, time: 0.232, data: 0.223) D_A: 1.135 G_A: 0.243 cycle_A: 4.884 idt_A: 9.229 D_B: 0.177 G_B: 0.174 cycle_B: 9.181 idt_B: 2.881 median_A: 12.232 median_B: 45.436 
(epoch: 40, iters: 50, time: 0.234, data: 0.186) D_A: 50.828 G_A: 9.453 cycle_A: 4.869 idt_A: 8.924 D_B: 0.328 G_B: 0.080 cycle_B: 9.459 idt_B: 2.785 median_A: 12.128 median_B: 43.115 
(epoch: 42, iters: 50, time: 0.235, data: 0.227) D_A: 148.713 G_A: 16.671 cycle_A: 4.906 idt_A: 8.918 D_B: 0.197 G_B: 0.228 cycle_B: 8.637 idt_B: 2.615 median_A: 11.866 median_B: 40.071 
(epoch: 44, iters: 50, time: 0.235, data: 0.237) D_A: 224.015 G_A: 4.070 cycle_A: 4.643 idt_A: 9.210 D_B: 0.447 G_B: 0.008 cycle_B: 8.022 idt_B: 2.603 median_A: 11.717 median_B: 35.822 
(epoch: 46, iters: 50, time: 0.234, data: 0.210) D_A: 204.027 G_A: 3.236 cycle_A: 5.256 idt_A: 10.104 D_B: 1.038 G_B: 12.973 cycle_B: 20.525 idt_B: 2.456 median_A: 16.035 median_B: 33.529 
(epoch: 48, iters: 50, time: 0.234, data: 0.202) D_A: 160.938 G_A: 3.914 cycle_A: 4.768 idt_A: 10.513 D_B: 1.375 G_B: 0.387 cycle_B: 8.930 idt_B: 2.243 median_A: 12.555 median_B: 30.937 
