================ Training Loss (Fri Sep 19 21:09:31 2025) ================
(epoch: 1, iters: 100, time: 0.226, data: 0.199) D_A: 46.637 G_A: 18.063 cycle_A: 32.964 idt_A: 10.553 D_B: 12339.331 G_B: 845.623 cycle_B: 40.412 idt_B: 9.449 median_A: 30.480 median_B: 32.995 
(epoch: 2, iters: 100, time: 0.227, data: 0.207) D_A: 1306.296 G_A: 2.135 cycle_A: 22.403 idt_A: 9.861 D_B: 9.323 G_B: 1.011 cycle_B: 23.428 idt_B: 8.555 median_A: 17.224 median_B: 30.869 
(epoch: 3, iters: 100, time: 0.226, data: 0.187) D_A: 92.237 G_A: 69.150 cycle_A: 18.632 idt_A: 9.580 D_B: 32.159 G_B: 79.741 cycle_B: 20.517 idt_B: 7.949 median_A: 15.917 median_B: 30.202 
(epoch: 4, iters: 100, time: 0.226, data: 0.214) D_A: 104.660 G_A: 63.087 cycle_A: 15.483 idt_A: 9.228 D_B: 930.443 G_B: 247.572 cycle_B: 17.414 idt_B: 7.439 median_A: 13.828 median_B: 30.697 
(epoch: 5, iters: 100, time: 0.227, data: 0.215) D_A: 18.362 G_A: 11.497 cycle_A: 12.691 idt_A: 8.978 D_B: 25.995 G_B: 0.643 cycle_B: 16.587 idt_B: 7.032 median_A: 12.596 median_B: 29.434 
(epoch: 6, iters: 100, time: 0.227, data: 0.224) D_A: 409.426 G_A: 15.506 cycle_A: 10.753 idt_A: 8.842 D_B: 0.573 G_B: 0.005 cycle_B: 14.409 idt_B: 6.665 median_A: 12.123 median_B: 28.798 
(epoch: 7, iters: 100, time: 0.226, data: 0.188) D_A: 70.846 G_A: 1.582 cycle_A: 9.490 idt_A: 8.717 D_B: 8.754 G_B: 26.872 cycle_B: 20.957 idt_B: 6.378 median_A: 13.355 median_B: 29.100 
(epoch: 8, iters: 100, time: 0.226, data: 0.185) D_A: 21.176 G_A: 1.538 cycle_A: 9.234 idt_A: 8.507 D_B: 56.264 G_B: 91.872 cycle_B: 21.603 idt_B: 6.070 median_A: 13.532 median_B: 27.331 
(epoch: 9, iters: 100, time: 0.227, data: 0.211) D_A: 0.527 G_A: 0.447 cycle_A: 8.364 idt_A: 8.329 D_B: 2.152 G_B: 9.176 cycle_B: 12.068 idt_B: 5.743 median_A: 11.281 median_B: 27.386 
(epoch: 10, iters: 100, time: 0.227, data: 0.213) D_A: 43.700 G_A: 0.159 cycle_A: 7.733 idt_A: 8.164 D_B: 0.063 G_B: 0.989 cycle_B: 11.245 idt_B: 5.407 median_A: 10.850 median_B: 27.024 
(epoch: 11, iters: 100, time: 0.228, data: 0.211) D_A: 2.443 G_A: 0.823 cycle_A: 7.170 idt_A: 8.017 D_B: 2.886 G_B: 1.753 cycle_B: 10.817 idt_B: 5.240 median_A: 10.696 median_B: 26.781 
