================ Training Loss (Wed Oct  1 14:04:46 2025) ================
(epoch: 10, iters: 10, time: 0.227, data: 0.186) D_A: 94.051 G_A: 30.174 cycle_A: 14.936 idt_A: 8.426 D_B: 47666.359 G_B: 287.641 cycle_B: 37.380 idt_B: 5.472 median_A: 28.112 median_B: 28.300 
(epoch: 20, iters: 10, time: 0.227, data: 0.226) D_A: 1453.866 G_A: 13.965 cycle_A: 11.391 idt_A: 8.042 D_B: 42625.418 G_B: 68.372 cycle_B: 34.485 idt_B: 3.810 median_A: 21.631 median_B: 26.893 
(epoch: 29, iters: 10, time: 0.225, data: 0.209) D_A: 1314.191 G_A: 7.148 cycle_A: 9.181 idt_A: 7.724 D_B: 1.242 G_B: 0.303 cycle_B: 18.990 idt_B: 3.744 median_A: 17.123 median_B: 26.963 
(epoch: 38, iters: 10, time: 0.224, data: 0.229) D_A: 1101.341 G_A: 36.612 cycle_A: 11.077 idt_A: 7.527 D_B: 10.509 G_B: 4.702 cycle_B: 17.600 idt_B: 3.545 median_A: 15.576 median_B: 26.805 
(epoch: 47, iters: 10, time: 0.227, data: 0.233) D_A: 152.163 G_A: 75.810 cycle_A: 8.183 idt_A: 7.353 D_B: 558.876 G_B: 76.984 cycle_B: 21.317 idt_B: 3.527 median_A: 18.560 median_B: 26.630 
(epoch: 56, iters: 10, time: 0.224, data: 0.216) D_A: 1911.334 G_A: 52.737 cycle_A: 7.569 idt_A: 7.284 D_B: 10.388 G_B: 0.356 cycle_B: 13.092 idt_B: 3.436 median_A: 16.029 median_B: 26.327 
(epoch: 65, iters: 10, time: 0.226, data: 0.230) D_A: 25.486 G_A: 0.166 cycle_A: 6.599 idt_A: 7.156 D_B: 25.708 G_B: 12.115 cycle_B: 11.444 idt_B: 3.160 median_A: 14.707 median_B: 26.195 
(epoch: 74, iters: 10, time: 0.226, data: 0.230) D_A: 7.615 G_A: 14.119 cycle_A: 8.901 idt_A: 7.003 D_B: 12.158 G_B: 33.863 cycle_B: 11.474 idt_B: 2.795 median_A: 15.598 median_B: 26.033 
(epoch: 83, iters: 10, time: 0.225, data: 0.236) D_A: 3.059 G_A: 0.155 cycle_A: 11.235 idt_A: 6.486 D_B: 40.454 G_B: 51.389 cycle_B: 20.456 idt_B: 2.487 median_A: 15.841 median_B: 25.940 
(epoch: 92, iters: 10, time: 0.228, data: 0.229) D_A: 30.630 G_A: 0.620 cycle_A: 3.794 idt_A: 5.845 D_B: 3.257 G_B: 3.460 cycle_B: 6.905 idt_B: 2.183 median_A: 13.842 median_B: 25.590 
(epoch: 101, iters: 10, time: 0.220, data: 0.265) D_A: 37.422 G_A: 0.212 cycle_A: 3.987 idt_A: 5.215 D_B: 0.232 G_B: 0.106 cycle_B: 5.940 idt_B: 1.933 median_A: 13.700 median_B: 25.499 
(epoch: 110, iters: 10, time: 0.225, data: 0.242) D_A: 69.148 G_A: 4.497 cycle_A: 2.374 idt_A: 4.577 D_B: 14.974 G_B: 5.674 cycle_B: 5.877 idt_B: 1.686 median_A: 13.325 median_B: 25.065 
(epoch: 119, iters: 10, time: 0.223, data: 0.270) D_A: 62.026 G_A: 0.275 cycle_A: 3.051 idt_A: 4.574 D_B: 12.051 G_B: 0.327 cycle_B: 4.683 idt_B: 1.688 median_A: 13.143 median_B: 25.212 
