================ Training Loss (Thu Nov 13 19:46:39 2025) ================
(epoch: 10, iters: 10, time: 0.256, data: 0.185) D_A: 7854.504 G_A: 7.593 cycle_A: 14.315 idt_A: 11.593 D_B: 15063.558 G_B: 29776.400 cycle_B: 78.634 idt_B: 5.622 median_A: 62.195 median_B: 73.508 
(epoch: 20, iters: 10, time: 0.236, data: 0.199) D_A: 15400.861 G_A: 4.223 cycle_A: 9.866 idt_A: 11.818 D_B: 1238.444 G_B: 193.665 cycle_B: 73.634 idt_B: 4.253 median_A: 41.809 median_B: 73.248 
(epoch: 29, iters: 10, time: 0.236, data: 0.177) D_A: 15543.976 G_A: 19.519 cycle_A: 10.136 idt_A: 11.740 D_B: 8852.609 G_B: 218.199 cycle_B: 44.518 idt_B: 4.730 median_A: 44.582 median_B: 73.340 
(epoch: 38, iters: 10, time: 0.235, data: 0.182) D_A: 581.794 G_A: 61.413 cycle_A: 12.097 idt_A: 12.663 D_B: 1758896.500 G_B: 0.008 cycle_B: 23.486 idt_B: 4.030 median_A: 27.504 median_B: 72.817 
(epoch: 47, iters: 10, time: 0.235, data: 0.192) D_A: 80.695 G_A: 0.486 cycle_A: 7.840 idt_A: 12.142 D_B: 4.653 G_B: 2648.017 cycle_B: 64.562 idt_B: 4.342 median_A: 36.984 median_B: 73.081 
(epoch: 56, iters: 10, time: 0.236, data: 0.190) D_A: 22194.809 G_A: 106.119 cycle_A: 11.701 idt_A: 10.385 D_B: 20.378 G_B: 54.398 cycle_B: 24.459 idt_B: 3.497 median_A: 25.538 median_B: 73.075 
(epoch: 65, iters: 10, time: 0.235, data: 0.187) D_A: 12081.730 G_A: 5.863 cycle_A: 7.610 idt_A: 10.693 D_B: 104.086 G_B: 101.380 cycle_B: 18.337 idt_B: 3.156 median_A: 26.097 median_B: 73.079 
(epoch: 74, iters: 10, time: 0.235, data: 0.195) D_A: 8367.206 G_A: 14.558 cycle_A: 5.361 idt_A: 10.638 D_B: 4.453 G_B: 15.845 cycle_B: 17.153 idt_B: 2.965 median_A: 24.027 median_B: 72.995 
(epoch: 83, iters: 10, time: 0.235, data: 0.203) D_A: 9653.867 G_A: 8.535 cycle_A: 4.924 idt_A: 10.639 D_B: 85.715 G_B: 198.606 cycle_B: 18.411 idt_B: 2.721 median_A: 21.241 median_B: 72.986 
(epoch: 92, iters: 10, time: 0.233, data: 0.221) D_A: 1263.708 G_A: 25.238 cycle_A: 4.451 idt_A: 9.906 D_B: 2.892 G_B: 5.647 cycle_B: 18.971 idt_B: 2.557 median_A: 18.612 median_B: 72.913 
(epoch: 101, iters: 10, time: 0.238, data: 0.227) D_A: 9176.959 G_A: 5.811 cycle_A: 3.738 idt_A: 11.688 D_B: 11.452 G_B: 4.503 cycle_B: 13.805 idt_B: 2.229 median_A: 15.891 median_B: 72.833 
(epoch: 110, iters: 10, time: 0.235, data: 0.239) D_A: 2861.946 G_A: 84.067 cycle_A: 9.193 idt_A: 10.965 D_B: 19.008 G_B: 51.259 cycle_B: 33.808 idt_B: 2.035 median_A: 21.723 median_B: 72.221 
(epoch: 119, iters: 10, time: 0.235, data: 0.214) D_A: 2064.574 G_A: 0.003 cycle_A: 3.029 idt_A: 10.522 D_B: 0.869 G_B: 2.302 cycle_B: 11.517 idt_B: 2.015 median_A: 14.193 median_B: 72.777 
(epoch: 128, iters: 10, time: 0.235, data: 0.244) D_A: 1282.311 G_A: 0.297 cycle_A: 2.826 idt_A: 10.706 D_B: 1.077 G_B: 0.103 cycle_B: 11.486 idt_B: 2.087 median_A: 14.838 median_B: 72.752 
(epoch: 137, iters: 10, time: 0.235, data: 0.261) D_A: 574.802 G_A: 0.097 cycle_A: 3.480 idt_A: 11.111 D_B: 0.321 G_B: 0.174 cycle_B: 12.048 idt_B: 2.008 median_A: 14.635 median_B: 72.721 
(epoch: 146, iters: 10, time: 0.236, data: 0.282) D_A: 130.512 G_A: 0.004 cycle_A: 2.723 idt_A: 11.725 D_B: 4.148 G_B: 0.277 cycle_B: 10.503 idt_B: 1.924 median_A: 14.368 median_B: 72.712 
(epoch: 155, iters: 10, time: 0.235, data: 0.177) D_A: 14.422 G_A: 3.811 cycle_A: 3.105 idt_A: 11.615 D_B: 4.832 G_B: 0.094 cycle_B: 10.438 idt_B: 1.856 median_A: 14.119 median_B: 72.674 
(epoch: 164, iters: 10, time: 0.237, data: 0.216) D_A: 245.631 G_A: 0.714 cycle_A: 2.098 idt_A: 10.818 D_B: 8.195 G_B: 0.073 cycle_B: 10.522 idt_B: 1.508 median_A: 13.909 median_B: 72.650 
(epoch: 173, iters: 10, time: 0.235, data: 0.252) D_A: 284.099 G_A: 0.203 cycle_A: 2.744 idt_A: 10.037 D_B: 15.655 G_B: 1.699 cycle_B: 9.804 idt_B: 1.692 median_A: 13.417 median_B: 72.646 
(epoch: 182, iters: 10, time: 0.235, data: 0.296) D_A: 36.741 G_A: 0.534 cycle_A: 1.718 idt_A: 9.116 D_B: 3.866 G_B: 2.581 cycle_B: 11.855 idt_B: 1.750 median_A: 13.155 median_B: 72.594 
(epoch: 191, iters: 10, time: 0.237, data: 0.295) D_A: 128.602 G_A: 0.087 cycle_A: 1.709 idt_A: 8.838 D_B: 0.329 G_B: 0.047 cycle_B: 9.493 idt_B: 1.761 median_A: 12.578 median_B: 72.554 
(epoch: 200, iters: 10, time: 0.237, data: 0.336) D_A: 453.965 G_A: 0.637 cycle_A: 2.536 idt_A: 11.519 D_B: 0.271 G_B: 0.300 cycle_B: 6.903 idt_B: 1.469 median_A: 12.178 median_B: 72.500 
(epoch: 209, iters: 10, time: 0.237, data: 0.303) D_A: 431.546 G_A: 0.031 cycle_A: 2.017 idt_A: 11.155 D_B: 0.544 G_B: 0.229 cycle_B: 6.966 idt_B: 1.610 median_A: 12.124 median_B: 72.510 
