================ Training Loss (Thu Sep 25 08:47:14 2025) ================
(epoch: 2, iters: 50, time: 0.090, data: 0.151) D_A: 42.169 G_A: 8.412 cycle_A: 4.427 idt_A: 1.861 D_B: 27.044 G_B: 0.795 cycle_B: 4.067 idt_B: 2.394 
(epoch: 4, iters: 50, time: 0.088, data: 0.151) D_A: 16.977 G_A: 5.466 cycle_A: 3.403 idt_A: 1.402 D_B: 30.357 G_B: 0.627 cycle_B: 2.774 idt_B: 1.443 
(epoch: 6, iters: 50, time: 0.090, data: 0.155) D_A: 0.676 G_A: 0.259 cycle_A: 2.502 idt_A: 1.179 D_B: 8.217 G_B: 0.172 cycle_B: 2.271 idt_B: 1.324 
(epoch: 8, iters: 50, time: 0.090, data: 0.148) D_A: 9.952 G_A: 0.974 cycle_A: 2.743 idt_A: 1.198 D_B: 72.595 G_B: 0.944 cycle_B: 2.057 idt_B: 1.228 
(epoch: 10, iters: 50, time: 0.090, data: 0.144) D_A: 6.733 G_A: 0.048 cycle_A: 2.177 idt_A: 1.044 D_B: 0.716 G_B: 0.215 cycle_B: 1.997 idt_B: 1.195 
(epoch: 12, iters: 50, time: 0.090, data: 0.153) D_A: 0.817 G_A: 0.034 cycle_A: 1.970 idt_A: 0.972 D_B: 10.579 G_B: 0.056 cycle_B: 1.931 idt_B: 1.156 
(epoch: 14, iters: 50, time: 0.091, data: 0.171) D_A: 6.778 G_A: 0.059 cycle_A: 2.084 idt_A: 0.938 D_B: 0.364 G_B: 0.009 cycle_B: 2.172 idt_B: 1.107 
(epoch: 16, iters: 50, time: 0.091, data: 0.150) D_A: 8.625 G_A: 0.048 cycle_A: 2.105 idt_A: 0.919 D_B: 1.271 G_B: 0.008 cycle_B: 1.652 idt_B: 1.064 
(epoch: 18, iters: 50, time: 0.090, data: 0.149) D_A: 1.311 G_A: 0.357 cycle_A: 1.878 idt_A: 0.930 D_B: 1.886 G_B: 0.484 cycle_B: 2.345 idt_B: 1.103 
(epoch: 20, iters: 50, time: 0.090, data: 0.148) D_A: 0.964 G_A: 0.013 cycle_A: 1.898 idt_A: 0.862 D_B: 0.464 G_B: 0.048 cycle_B: 1.611 idt_B: 1.026 
(epoch: 22, iters: 50, time: 0.090, data: 0.151) D_A: 0.772 G_A: 0.155 cycle_A: 2.006 idt_A: 0.857 D_B: 0.350 G_B: 0.246 cycle_B: 1.779 idt_B: 1.040 
(epoch: 24, iters: 50, time: 0.090, data: 0.151) D_A: 4.108 G_A: 0.014 cycle_A: 2.214 idt_A: 0.882 D_B: 1.102 G_B: 0.007 cycle_B: 1.717 idt_B: 1.036 
(epoch: 26, iters: 50, time: 0.090, data: 0.179) D_A: 7.798 G_A: 0.461 cycle_A: 1.886 idt_A: 0.832 D_B: 14.370 G_B: 0.147 cycle_B: 1.948 idt_B: 1.025 
(epoch: 28, iters: 50, time: 0.090, data: 0.146) D_A: 8.383 G_A: 2.506 cycle_A: 2.890 idt_A: 1.011 D_B: 0.391 G_B: 1.045 cycle_B: 2.095 idt_B: 1.104 
(epoch: 30, iters: 50, time: 0.089, data: 0.175) D_A: 1.424 G_A: 0.082 cycle_A: 1.870 idt_A: 0.789 D_B: 3.587 G_B: 0.303 cycle_B: 2.097 idt_B: 1.010 
