================ Training Loss (Wed Sep 24 05:40:58 2025) ================
(epoch: 2, iters: 50, time: 0.269, data: 0.181) D_A: 60.642 G_A: 75.017 cycle_A: 23.722 idt_A: 8.289 D_B: 4739.104 G_B: 839.359 cycle_B: 36.466 idt_B: 6.701 median_A: 40.558 median_B: 31.832 
(epoch: 4, iters: 50, time: 0.232, data: 0.199) D_A: 244.354 G_A: 198.716 cycle_A: 17.483 idt_A: 8.109 D_B: 484.767 G_B: 237.676 cycle_B: 23.424 idt_B: 5.991 median_A: 17.097 median_B: 31.705 
(epoch: 6, iters: 50, time: 0.232, data: 0.213) D_A: 62.410 G_A: 35.133 cycle_A: 12.332 idt_A: 7.822 D_B: 19.873 G_B: 46.758 cycle_B: 15.367 idt_B: 5.601 median_A: 12.187 median_B: 29.858 
(epoch: 8, iters: 50, time: 0.232, data: 0.208) D_A: 114.395 G_A: 25.042 cycle_A: 10.097 idt_A: 7.618 D_B: 0.448 G_B: 0.692 cycle_B: 12.470 idt_B: 5.341 median_A: 11.621 median_B: 29.253 
(epoch: 10, iters: 50, time: 0.233, data: 0.204) D_A: 530.975 G_A: 5.002 cycle_A: 8.500 idt_A: 7.485 D_B: 3.961 G_B: 13.087 cycle_B: 18.028 idt_B: 4.979 median_A: 12.602 median_B: 28.749 
(epoch: 12, iters: 50, time: 0.234, data: 0.219) D_A: 326.382 G_A: 4.625 cycle_A: 7.184 idt_A: 7.285 D_B: 3.070 G_B: 1.866 cycle_B: 11.751 idt_B: 4.612 median_A: 11.229 median_B: 28.367 
(epoch: 14, iters: 50, time: 0.232, data: 0.251) D_A: 170.884 G_A: 0.009 cycle_A: 7.205 idt_A: 7.226 D_B: 730.534 G_B: 1380.529 cycle_B: 44.499 idt_B: 4.340 median_A: 20.303 median_B: 27.249 
(epoch: 16, iters: 50, time: 0.232, data: 0.213) D_A: 95.571 G_A: 0.024 cycle_A: 5.603 idt_A: 7.161 D_B: 2.527 G_B: 0.116 cycle_B: 10.650 idt_B: 4.065 median_A: 11.453 median_B: 26.804 
(epoch: 18, iters: 50, time: 0.233, data: 0.195) D_A: 62.620 G_A: 0.168 cycle_A: 5.964 idt_A: 7.049 D_B: 40.024 G_B: 93.414 cycle_B: 16.991 idt_B: 3.816 median_A: 14.680 median_B: 26.665 
(epoch: 20, iters: 50, time: 0.232, data: 0.214) D_A: 36.587 G_A: 1.124 cycle_A: 5.286 idt_A: 6.884 D_B: 6.486 G_B: 0.065 cycle_B: 10.527 idt_B: 3.534 median_A: 12.698 median_B: 26.060 
(epoch: 22, iters: 50, time: 0.234, data: 0.232) D_A: 8.282 G_A: 0.069 cycle_A: 5.091 idt_A: 6.746 D_B: 5.075 G_B: 0.501 cycle_B: 9.357 idt_B: 3.269 median_A: 11.931 median_B: 25.073 
