================ Training Loss (Tue Mar 17 11:27:50 2026) ================
(epoch: 1, iters: 0, time: 1.426, data: 0.003) G_A: 59.065 G_B: 4.286 D_A: 22.350 D_B: 1.361 cycle_A: 31.955 cycle_B: 29.550 feedback_A: 16.661 feedback_B: 17.103 idt_A: 8.123 idt_B: 8.655 
(epoch: 1, iters: 10, time: 0.008, data: 0.001) G_A: 256.235 G_B: 54.223 D_A: 151.478 D_B: 42.639 cycle_A: 12.328 cycle_B: 10.005 feedback_A: 12.042 feedback_B: 12.165 idt_A: 5.489 idt_B: 6.193 
(epoch: 2, iters: 0, time: 0.008, data: 0.001) G_A: 48.259 G_B: 13.015 D_A: 28.197 D_B: 10.640 cycle_A: 6.992 cycle_B: 6.247 feedback_A: 10.901 feedback_B: 10.641 idt_A: 4.780 idt_B: 4.998 
(epoch: 2, iters: 10, time: 0.008, data: 0.001) G_A: 99.960 G_B: 26.403 D_A: 44.797 D_B: 20.301 cycle_A: 6.364 cycle_B: 5.359 feedback_A: 10.332 feedback_B: 10.504 idt_A: 4.323 idt_B: 4.307 
(epoch: 3, iters: 0, time: 0.008, data: 0.001) G_A: 0.290 G_B: 6.710 D_A: 1.286 D_B: 1.532 cycle_A: 5.096 cycle_B: 4.313 feedback_A: 9.592 feedback_B: 9.233 idt_A: 3.797 idt_B: 3.834 
(epoch: 3, iters: 10, time: 0.008, data: 0.001) G_A: 2.189 G_B: 1.507 D_A: 4.532 D_B: 24.389 cycle_A: 4.666 cycle_B: 4.627 feedback_A: 9.752 feedback_B: 8.918 idt_A: 3.397 idt_B: 3.155 
(epoch: 4, iters: 0, time: 0.008, data: 0.001) G_A: 0.970 G_B: 0.604 D_A: 5.448 D_B: 17.036 cycle_A: 4.695 cycle_B: 4.303 feedback_A: 8.859 feedback_B: 8.708 idt_A: 2.900 idt_B: 2.926 
(epoch: 4, iters: 10, time: 0.008, data: 0.001) G_A: 4.580 G_B: 37.943 D_A: 10.167 D_B: 27.377 cycle_A: 4.788 cycle_B: 5.250 feedback_A: 8.803 feedback_B: 8.366 idt_A: 3.007 idt_B: 2.752 
(epoch: 5, iters: 0, time: 0.008, data: 0.001) G_A: 1.769 G_B: 38.910 D_A: 6.818 D_B: 42.835 cycle_A: 4.139 cycle_B: 4.646 feedback_A: 9.532 feedback_B: 8.085 idt_A: 2.623 idt_B: 2.289 
(epoch: 5, iters: 10, time: 0.008, data: 0.001) G_A: 0.156 G_B: 2.628 D_A: 1.487 D_B: 8.673 cycle_A: 4.854 cycle_B: 4.603 feedback_A: 9.014 feedback_B: 7.902 idt_A: 2.343 idt_B: 2.638 
(epoch: 6, iters: 0, time: 0.008, data: 0.001) G_A: 11.481 G_B: 16.533 D_A: 14.894 D_B: 14.982 cycle_A: 4.611 cycle_B: 4.690 feedback_A: 8.742 feedback_B: 8.421 idt_A: 2.083 idt_B: 2.311 
(epoch: 6, iters: 10, time: 0.008, data: 0.001) G_A: 0.038 G_B: 10.889 D_A: 0.470 D_B: 79.766 cycle_A: 4.051 cycle_B: 2.811 feedback_A: 8.507 feedback_B: 7.874 idt_A: 1.908 idt_B: 2.023 
(epoch: 7, iters: 0, time: 0.008, data: 0.001) G_A: 25.867 G_B: 0.752 D_A: 29.890 D_B: 4.216 cycle_A: 3.111 cycle_B: 3.345 feedback_A: 8.419 feedback_B: 7.827 idt_A: 1.591 idt_B: 1.916 
(epoch: 7, iters: 10, time: 0.008, data: 0.001) G_A: 0.205 G_B: 1.045 D_A: 4.442 D_B: 55.237 cycle_A: 3.538 cycle_B: 3.393 feedback_A: 8.128 feedback_B: 7.738 idt_A: 1.502 idt_B: 2.278 
(epoch: 8, iters: 0, time: 0.008, data: 0.001) G_A: 3.731 G_B: 0.209 D_A: 4.440 D_B: 154.153 cycle_A: 4.368 cycle_B: 4.161 feedback_A: 8.160 feedback_B: 8.116 idt_A: 1.740 idt_B: 2.211 
(epoch: 8, iters: 10, time: 0.008, data: 0.001) G_A: 3.044 G_B: 0.023 D_A: 5.727 D_B: 7.779 cycle_A: 3.131 cycle_B: 3.676 feedback_A: 8.071 feedback_B: 7.840 idt_A: 1.573 idt_B: 1.888 
(epoch: 9, iters: 0, time: 0.008, data: 0.001) G_A: 0.070 G_B: 14.385 D_A: 1.342 D_B: 7.809 cycle_A: 3.149 cycle_B: 3.057 feedback_A: 7.903 feedback_B: 7.779 idt_A: 1.444 idt_B: 1.440 
(epoch: 9, iters: 10, time: 0.008, data: 0.001) G_A: 6.302 G_B: 2.192 D_A: 2.097 D_B: 8.016 cycle_A: 3.016 cycle_B: 3.414 feedback_A: 8.735 feedback_B: 7.765 idt_A: 1.476 idt_B: 1.654 
(epoch: 10, iters: 0, time: 0.008, data: 0.001) G_A: 2.404 G_B: 0.115 D_A: 7.216 D_B: 2.085 cycle_A: 3.017 cycle_B: 2.465 feedback_A: 8.240 feedback_B: 7.661 idt_A: 1.330 idt_B: 1.747 
(epoch: 10, iters: 10, time: 0.008, data: 0.001) G_A: 9.219 G_B: 1.240 D_A: 3.436 D_B: 2.481 cycle_A: 3.826 cycle_B: 2.848 feedback_A: 7.931 feedback_B: 7.919 idt_A: 1.462 idt_B: 1.509 
(epoch: 11, iters: 0, time: 0.010, data: 0.003) G_A: 1.726 G_B: 0.008 D_A: 3.101 D_B: 7.321 cycle_A: 3.182 cycle_B: 2.838 feedback_A: 8.268 feedback_B: 7.815 idt_A: 1.406 idt_B: 1.543 
(epoch: 11, iters: 10, time: 0.008, data: 0.001) G_A: 24.032 G_B: 2.825 D_A: 12.251 D_B: 0.640 cycle_A: 2.519 cycle_B: 2.466 feedback_A: 7.719 feedback_B: 7.761 idt_A: 1.330 idt_B: 1.302 
(epoch: 12, iters: 0, time: 0.008, data: 0.001) G_A: 13.557 G_B: 14.447 D_A: 11.742 D_B: 26.232 cycle_A: 5.431 cycle_B: 2.848 feedback_A: 8.044 feedback_B: 8.347 idt_A: 1.900 idt_B: 1.251 
(epoch: 12, iters: 10, time: 0.008, data: 0.001) G_A: 0.525 G_B: 0.034 D_A: 3.178 D_B: 8.916 cycle_A: 3.160 cycle_B: 2.928 feedback_A: 8.429 feedback_B: 7.569 idt_A: 1.283 idt_B: 1.646 
