================ Training Loss (Sun Mar  2 16:00:35 2025) ================
(epoch: 4, iters: 10, time: 0.090, data: 0.181) D_A: 18.299 G_A: 0.912 cycle_A: 5.326 idt_A: 2.660 D_B: 3.907 G_B: 5.109 cycle_B: 4.945 idt_B: 2.877 median_A: 9.584 median_B: 9.186 
(epoch: 7, iters: 20, time: 0.089, data: 0.002) D_A: 44.076 G_A: 10.088 cycle_A: 3.383 idt_A: 1.559 D_B: 54.835 G_B: 32.151 cycle_B: 4.882 idt_B: 2.004 median_A: 8.737 median_B: 7.914 
(epoch: 10, iters: 30, time: 0.090, data: 0.002) D_A: 0.962 G_A: 2.222 cycle_A: 3.572 idt_A: 1.551 D_B: 3.043 G_B: 0.342 cycle_B: 2.968 idt_B: 1.856 median_A: 8.446 median_B: 7.809 
(epoch: 14, iters: 10, time: 0.089, data: 0.193) D_A: 0.465 G_A: 1.694 cycle_A: 2.825 idt_A: 1.668 D_B: 0.173 G_B: 0.064 cycle_B: 2.753 idt_B: 1.642 median_A: 7.680 median_B: 7.229 
(epoch: 17, iters: 20, time: 0.089, data: 0.003) D_A: 5.026 G_A: 1.985 cycle_A: 2.631 idt_A: 1.333 D_B: 10.625 G_B: 0.724 cycle_B: 2.183 idt_B: 1.287 median_A: 7.199 median_B: 6.901 
(epoch: 20, iters: 30, time: 0.091, data: 0.002) D_A: 1.598 G_A: 0.413 cycle_A: 2.260 idt_A: 1.357 D_B: 21.958 G_B: 0.151 cycle_B: 2.644 idt_B: 1.625 median_A: 7.501 median_B: 7.287 
(epoch: 24, iters: 10, time: 0.090, data: 0.199) D_A: 1.432 G_A: 0.276 cycle_A: 2.218 idt_A: 1.444 D_B: 1.180 G_B: 0.148 cycle_B: 2.382 idt_B: 1.465 median_A: 6.809 median_B: 6.818 
(epoch: 27, iters: 20, time: 0.090, data: 0.003) D_A: 2.822 G_A: 0.118 cycle_A: 2.226 idt_A: 1.128 D_B: 4.617 G_B: 0.051 cycle_B: 1.952 idt_B: 1.165 median_A: 6.307 median_B: 6.518 
(epoch: 30, iters: 30, time: 0.090, data: 0.003) D_A: 15.274 G_A: 0.272 cycle_A: 1.864 idt_A: 1.188 D_B: 6.572 G_B: 0.180 cycle_B: 2.278 idt_B: 1.480 median_A: 6.247 median_B: 6.431 
(epoch: 34, iters: 10, time: 0.090, data: 0.187) D_A: 0.421 G_A: 0.007 cycle_A: 1.567 idt_A: 1.304 D_B: 0.251 G_B: 0.188 cycle_B: 2.066 idt_B: 1.361 median_A: 5.873 median_B: 6.046 
(epoch: 37, iters: 20, time: 0.089, data: 0.002) D_A: 1.113 G_A: 0.015 cycle_A: 1.729 idt_A: 1.045 D_B: 0.502 G_B: 0.026 cycle_B: 2.126 idt_B: 1.127 median_A: 5.427 median_B: 5.701 
