================ Training Loss (Fri Sep 19 16:30:06 2025) ================
(epoch: 2, iters: 50, time: 0.052, data: 0.116) D_A: 28.504 G_A: 41.527 cycle_A: 9.863 idt_A: 11.231 D_B: 527.083 G_B: 4.651 cycle_B: 8.450 idt_B: 13.023 median_A: 59.746 median_B: 40.779 
(epoch: 4, iters: 50, time: 0.051, data: 0.129) D_A: 1.503 G_A: 0.292 cycle_A: 6.920 idt_A: 8.663 D_B: 120.253 G_B: 0.306 cycle_B: 6.631 idt_B: 3.564 median_A: 57.781 median_B: 28.481 
(epoch: 6, iters: 50, time: 0.052, data: 0.129) D_A: 16.434 G_A: 44.759 cycle_A: 6.520 idt_A: 6.839 D_B: 392.494 G_B: 6.747 cycle_B: 6.459 idt_B: 2.527 median_A: 54.089 median_B: 22.064 
(epoch: 8, iters: 50, time: 0.051, data: 0.131) D_A: 0.039 G_A: 0.803 cycle_A: 5.072 idt_A: 5.244 D_B: 109.871 G_B: 0.065 cycle_B: 5.756 idt_B: 2.271 median_A: 50.725 median_B: 19.499 
(epoch: 10, iters: 50, time: 0.052, data: 0.131) D_A: 9.949 G_A: 0.169 cycle_A: 8.714 idt_A: 4.117 D_B: 5.022 G_B: 1.625 cycle_B: 5.622 idt_B: 2.338 median_A: 48.713 median_B: 18.308 
(epoch: 12, iters: 50, time: 0.051, data: 0.128) D_A: 0.289 G_A: 0.076 cycle_A: 4.323 idt_A: 3.600 D_B: 39.791 G_B: 12.913 cycle_B: 5.407 idt_B: 2.317 median_A: 42.457 median_B: 16.606 
(epoch: 14, iters: 50, time: 0.049, data: 0.135) D_A: 11.122 G_A: 0.316 cycle_A: 3.648 idt_A: 3.584 D_B: 28.320 G_B: 1.906 cycle_B: 5.348 idt_B: 2.933 median_A: 40.290 median_B: 15.919 
(epoch: 16, iters: 50, time: 0.052, data: 0.126) D_A: 0.910 G_A: 0.081 cycle_A: 3.267 idt_A: 3.461 D_B: 4.997 G_B: 4.575 cycle_B: 4.945 idt_B: 2.487 median_A: 34.436 median_B: 15.529 
(epoch: 18, iters: 50, time: 0.051, data: 0.135) D_A: 0.776 G_A: 0.220 cycle_A: 5.489 idt_A: 3.203 D_B: 37.792 G_B: 16.536 cycle_B: 4.805 idt_B: 2.145 median_A: 33.009 median_B: 15.046 
(epoch: 20, iters: 50, time: 0.051, data: 0.130) D_A: 3.132 G_A: 0.043 cycle_A: 3.310 idt_A: 3.170 D_B: 0.822 G_B: 0.521 cycle_B: 4.755 idt_B: 2.147 median_A: 28.404 median_B: 14.681 
(epoch: 22, iters: 50, time: 0.051, data: 0.127) D_A: 1.089 G_A: 0.183 cycle_A: 4.694 idt_A: 3.328 D_B: 43.091 G_B: 14.723 cycle_B: 4.814 idt_B: 2.667 median_A: 26.320 median_B: 14.303 
(epoch: 24, iters: 50, time: 0.052, data: 0.131) D_A: 1.323 G_A: 0.328 cycle_A: 3.218 idt_A: 3.132 D_B: 3.896 G_B: 1.018 cycle_B: 6.013 idt_B: 2.386 median_A: 26.060 median_B: 13.626 
(epoch: 26, iters: 50, time: 0.051, data: 0.128) D_A: 0.704 G_A: 0.217 cycle_A: 3.875 idt_A: 3.037 D_B: 16.386 G_B: 5.464 cycle_B: 5.977 idt_B: 2.549 median_A: 23.849 median_B: 13.685 
(epoch: 28, iters: 50, time: 0.052, data: 0.131) D_A: 0.258 G_A: 0.004 cycle_A: 3.972 idt_A: 2.969 D_B: 54.429 G_B: 49.975 cycle_B: 5.533 idt_B: 3.047 median_A: 22.318 median_B: 13.030 
