================ Training Loss (Fri Sep 19 16:46:06 2025) ================
(epoch: 2, iters: 50, time: 0.038, data: 0.116) D_A: 39.243 G_A: 54.156 cycle_A: 7.958 idt_A: 10.328 D_B: 55.708 G_B: 1.389 cycle_B: 6.560 idt_B: 10.730 median_A: 49.966 median_B: 32.169 
(epoch: 4, iters: 50, time: 0.037, data: 0.125) D_A: 0.392 G_A: 0.145 cycle_A: 4.080 idt_A: 7.147 D_B: 94.110 G_B: 0.381 cycle_B: 5.502 idt_B: 3.601 median_A: 45.377 median_B: 23.261 
(epoch: 6, iters: 50, time: 0.037, data: 0.127) D_A: 0.293 G_A: 1.965 cycle_A: 3.930 idt_A: 5.018 D_B: 5.757 G_B: 1.750 cycle_B: 5.362 idt_B: 2.480 median_A: 38.249 median_B: 18.748 
(epoch: 8, iters: 50, time: 0.037, data: 0.132) D_A: 1.752 G_A: 0.001 cycle_A: 3.366 idt_A: 3.915 D_B: 6.733 G_B: 0.012 cycle_B: 4.866 idt_B: 2.154 median_A: 36.167 median_B: 16.692 
(epoch: 10, iters: 50, time: 0.036, data: 0.124) D_A: 1.934 G_A: 0.151 cycle_A: 3.510 idt_A: 3.329 D_B: 8.354 G_B: 9.309 cycle_B: 4.654 idt_B: 2.142 median_A: 30.486 median_B: 15.581 
(epoch: 12, iters: 50, time: 0.037, data: 0.124) D_A: 1.805 G_A: 0.029 cycle_A: 6.529 idt_A: 3.198 D_B: 7.448 G_B: 0.883 cycle_B: 5.800 idt_B: 1.987 median_A: 24.820 median_B: 15.527 
(epoch: 14, iters: 50, time: 0.037, data: 0.125) D_A: 2003.973 G_A: 0.699 cycle_A: 4.425 idt_A: 3.058 D_B: 29.825 G_B: 1.608 cycle_B: 6.417 idt_B: 2.354 median_A: 22.816 median_B: 15.793 
(epoch: 16, iters: 50, time: 0.037, data: 0.130) D_A: 1.283 G_A: 0.009 cycle_A: 2.917 idt_A: 2.788 D_B: 0.901 G_B: 3.673 cycle_B: 5.171 idt_B: 1.915 median_A: 18.638 median_B: 13.963 
(epoch: 18, iters: 50, time: 0.037, data: 0.124) D_A: 0.332 G_A: 0.201 cycle_A: 3.612 idt_A: 2.684 D_B: 6.843 G_B: 1.158 cycle_B: 4.367 idt_B: 1.916 median_A: 17.329 median_B: 12.711 
(epoch: 20, iters: 50, time: 0.037, data: 0.126) D_A: 0.484 G_A: 0.021 cycle_A: 3.588 idt_A: 2.652 D_B: 11.730 G_B: 15.097 cycle_B: 5.851 idt_B: 1.946 median_A: 15.990 median_B: 11.845 
(epoch: 22, iters: 50, time: 0.037, data: 0.123) D_A: 0.671 G_A: 0.076 cycle_A: 3.138 idt_A: 2.584 D_B: 29.101 G_B: 2.604 cycle_B: 5.238 idt_B: 1.811 median_A: 15.089 median_B: 11.092 
