Method,Direction,threshold,mean,std
CycleGAN (Baseline),MA_to_RS,0.0001,0.2954531776923521,0.046468695035103605
CycleGAN (Baseline),MA_to_RS,0.001,0.3599088732952092,0.043867541767735475
CycleGAN (Baseline),MA_to_RS,0.01,0.45080418853115856,0.035950752683948595
CycleGAN (Baseline),MA_to_RS,0.05,0.5547549327169453,0.029766835764644253
CycleGAN (Baseline),MA_to_RS,0.1,0.6121566420240248,0.023994504402278106
CycleGAN (Baseline),MA_to_RS,0.2,0.6856470419635287,0.017649287289854584
CycleGAN (Baseline),MA_to_RS,0.5,0.8213760090882261,0.01161201079206593
CycleGAN (Baseline),MA_to_RS,1.0,1.0,0.0
CycleGAN (Baseline),RS_to_MA,0.0001,0.27836754519257545,0.030147770230074634
CycleGAN (Baseline),RS_to_MA,0.001,0.33917860603060174,0.030840883358571478
CycleGAN (Baseline),RS_to_MA,0.01,0.43488666525418224,0.027278904633028175
CycleGAN (Baseline),RS_to_MA,0.05,0.5381105225354854,0.02717968318974075
CycleGAN (Baseline),RS_to_MA,0.1,0.5971683032576417,0.024005145822356484
CycleGAN (Baseline),RS_to_MA,0.2,0.6695470498715771,0.020236239715196794
CycleGAN (Baseline),RS_to_MA,0.5,0.8125165917076392,0.014382305294808197
CycleGAN (Baseline),RS_to_MA,1.0,1.0,0.0
GANomics (Proposed),MA_to_RS,0.0001,0.5246891624625405,0.015534584599776698
GANomics (Proposed),MA_to_RS,0.001,0.5630479499041765,0.014778337698972618
GANomics (Proposed),MA_to_RS,0.01,0.6179153534125419,0.014552397587807736
GANomics (Proposed),MA_to_RS,0.05,0.679287691486299,0.014711171373307371
GANomics (Proposed),MA_to_RS,0.1,0.7144752752997429,0.015084228413253825
GANomics (Proposed),MA_to_RS,0.2,0.7588086217708966,0.013069383009739352
GANomics (Proposed),MA_to_RS,0.5,0.8514619390310199,0.0071834191932282345
GANomics (Proposed),MA_to_RS,1.0,1.0,0.0
GANomics (Proposed),RS_to_MA,0.0001,0.4492595704518926,0.018260871039961848
GANomics (Proposed),RS_to_MA,0.001,0.4956422030787004,0.019073350757799663
GANomics (Proposed),RS_to_MA,0.01,0.5634306272662636,0.01602768643567474
GANomics (Proposed),RS_to_MA,0.05,0.6274076688596628,0.012457676367925665
GANomics (Proposed),RS_to_MA,0.1,0.6639427790811236,0.009890161697295967
GANomics (Proposed),RS_to_MA,0.2,0.7129229322607571,0.00759054117965788
GANomics (Proposed),RS_to_MA,0.5,0.8204949791151493,0.0035094007210079658
GANomics (Proposed),RS_to_MA,1.0,1.0,0.0
