================ Training Loss (Sat Mar  7 12:56:49 2026) ================
(epoch: 1, iters: 0, time: 0.434, data: 0.004) G_A: 1.029 G_B: 23.238 D_A: 2.148 D_B: 7.347 cycle_A: 171.675 cycle_B: 154.040 feedback_A: 16.567 feedback_B: 17.498 idt_A: 41.241 idt_B: 44.534 
(epoch: 1, iters: 10, time: 0.016, data: 0.001) G_A: 10.285 G_B: 25.651 D_A: 10.483 D_B: 25.494 cycle_A: 45.390 cycle_B: 38.700 feedback_A: 10.900 feedback_B: 11.108 idt_A: 23.593 idt_B: 27.132 
(epoch: 1, iters: 20, time: 0.016, data: 0.001) G_A: 47.426 G_B: 34.870 D_A: 21.417 D_B: 14.562 cycle_A: 26.670 cycle_B: 26.077 feedback_A: 10.113 feedback_B: 9.940 idt_A: 18.717 idt_B: 21.884 
(epoch: 1, iters: 30, time: 0.017, data: 0.001) G_A: 0.125 G_B: 8.636 D_A: 2.548 D_B: 20.454 cycle_A: 20.933 cycle_B: 21.175 feedback_A: 9.410 feedback_B: 9.174 idt_A: 13.854 idt_B: 15.497 
(epoch: 1, iters: 40, time: 0.016, data: 0.001) G_A: 96.355 G_B: 7.267 D_A: 52.141 D_B: 22.302 cycle_A: 24.435 cycle_B: 21.260 feedback_A: 9.398 feedback_B: 8.812 idt_A: 11.465 idt_B: 13.254 
(epoch: 2, iters: 0, time: 0.016, data: 0.001) G_A: 3.633 G_B: 0.657 D_A: 3.120 D_B: 0.268 cycle_A: 23.677 cycle_B: 25.321 feedback_A: 9.507 feedback_B: 8.577 idt_A: 9.167 idt_B: 13.178 
(epoch: 2, iters: 10, time: 0.016, data: 0.001) G_A: 2.546 G_B: 0.338 D_A: 1.035 D_B: 33.385 cycle_A: 16.583 cycle_B: 16.557 feedback_A: 8.886 feedback_B: 8.141 idt_A: 8.023 idt_B: 9.049 
(epoch: 2, iters: 20, time: 0.016, data: 0.001) G_A: 3.584 G_B: 1.850 D_A: 5.749 D_B: 20.627 cycle_A: 17.046 cycle_B: 18.754 feedback_A: 8.813 feedback_B: 8.153 idt_A: 8.540 idt_B: 9.877 
(epoch: 2, iters: 30, time: 0.016, data: 0.001) G_A: 7.783 G_B: 15.335 D_A: 2.024 D_B: 8.957 cycle_A: 15.137 cycle_B: 14.508 feedback_A: 8.251 feedback_B: 8.054 idt_A: 5.858 idt_B: 7.697 
(epoch: 2, iters: 40, time: 0.017, data: 0.001) G_A: 26.814 G_B: 8.114 D_A: 9.072 D_B: 8.361 cycle_A: 16.977 cycle_B: 14.472 feedback_A: 8.128 feedback_B: 7.784 idt_A: 7.327 idt_B: 9.122 
(epoch: 3, iters: 0, time: 0.016, data: 0.001) G_A: 0.004 G_B: 19.844 D_A: 0.728 D_B: 7.626 cycle_A: 13.422 cycle_B: 14.719 feedback_A: 7.976 feedback_B: 7.510 idt_A: 7.728 idt_B: 7.388 
(epoch: 3, iters: 10, time: 0.017, data: 0.001) G_A: 0.582 G_B: 3.102 D_A: 3.795 D_B: 93.659 cycle_A: 19.460 cycle_B: 12.523 feedback_A: 8.028 feedback_B: 7.969 idt_A: 6.510 idt_B: 10.946 
(epoch: 3, iters: 20, time: 0.016, data: 0.001) G_A: 20.156 G_B: 6.828 D_A: 11.441 D_B: 39.614 cycle_A: 14.303 cycle_B: 12.644 feedback_A: 8.028 feedback_B: 7.594 idt_A: 6.449 idt_B: 7.601 
