================ Training Loss (Sun Mar  2 19:11:02 2025) ================
(epoch: 2, iters: 50, time: 0.089, data: 0.182) D_A: 22.749 G_A: 15.870 cycle_A: 4.920 idt_A: 2.558 D_B: 22.715 G_B: 5.408 cycle_B: 4.363 idt_B: 2.294 median_A: 9.234 median_B: 9.084 
(epoch: 4, iters: 50, time: 0.091, data: 0.201) D_A: 3.823 G_A: 0.001 cycle_A: 2.825 idt_A: 1.353 D_B: 12.783 G_B: 5.665 cycle_B: 3.063 idt_B: 1.550 median_A: 8.335 median_B: 7.857 
(epoch: 6, iters: 50, time: 0.089, data: 0.205) D_A: 2.332 G_A: 0.034 cycle_A: 2.760 idt_A: 1.152 D_B: 3.234 G_B: 0.241 cycle_B: 2.543 idt_B: 1.425 median_A: 8.023 median_B: 7.473 
(epoch: 8, iters: 50, time: 0.091, data: 0.209) D_A: 18.989 G_A: 0.005 cycle_A: 2.082 idt_A: 1.061 D_B: 13.822 G_B: 0.003 cycle_B: 2.091 idt_B: 1.266 median_A: 7.778 median_B: 7.335 
(epoch: 10, iters: 50, time: 0.090, data: 0.180) D_A: 0.979 G_A: 0.004 cycle_A: 1.970 idt_A: 0.980 D_B: 0.143 G_B: 0.280 cycle_B: 1.843 idt_B: 1.172 median_A: 7.451 median_B: 6.978 
(epoch: 12, iters: 50, time: 0.090, data: 0.162) D_A: 0.917 G_A: 0.750 cycle_A: 1.928 idt_A: 0.920 D_B: 27.922 G_B: 0.310 cycle_B: 1.546 idt_B: 1.104 median_A: 7.219 median_B: 6.446 
(epoch: 14, iters: 50, time: 0.091, data: 0.207) D_A: 8.498 G_A: 0.178 cycle_A: 1.733 idt_A: 0.876 D_B: 1.357 G_B: 0.139 cycle_B: 1.792 idt_B: 1.146 median_A: 6.907 median_B: 6.345 
(epoch: 16, iters: 50, time: 0.090, data: 0.189) D_A: 1.381 G_A: 0.326 cycle_A: 1.981 idt_A: 0.982 D_B: 6.206 G_B: 0.607 cycle_B: 1.641 idt_B: 1.032 median_A: 7.041 median_B: 6.436 
(epoch: 18, iters: 50, time: 0.089, data: 0.202) D_A: 6.497 G_A: 2.577 cycle_A: 2.168 idt_A: 0.872 D_B: 5.715 G_B: 0.003 cycle_B: 2.148 idt_B: 1.011 median_A: 6.436 median_B: 5.849 
(epoch: 20, iters: 50, time: 0.089, data: 0.211) D_A: 0.995 G_A: 0.160 cycle_A: 1.477 idt_A: 0.858 D_B: 0.747 G_B: 0.465 cycle_B: 1.582 idt_B: 0.948 median_A: 6.435 median_B: 5.625 
(epoch: 22, iters: 50, time: 0.090, data: 0.181) D_A: 0.983 G_A: 0.101 cycle_A: 1.547 idt_A: 0.819 D_B: 0.610 G_B: 0.005 cycle_B: 1.539 idt_B: 0.943 median_A: 6.279 median_B: 5.777 
